Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,7886.538307694436,39666.24475270176,8318.900097845608,7089.003025919289
2,7886.538307694436,20166.244752701758,8318.900097845608,7089.003025919289
3,7886.538307694436,13666.24475270176,8318.900097845608,6308.682856375083
4,7886.538307694436,10416.24475270176,8318.900097845608,5664.359774118752
5,7886.538307694436,8466.24475270176,7920.083317602688,4830.79525599131
6,7886.538307694436,7166.24475270176,6820.083317602688,4230.795255991311
7,7886.538307694436,6237.673324130332,6034.369031888402,3911.4645847571796
8,7886.538307694436,5541.24475270176,5445.083317602688,3480.795255991311
9,7886.538307694436,4999.578086035094,4948.63667255264,3230.7952559913115
10,7886.538307694436,4566.244752701761,4535.7112804017615,3004.7989027018602
