Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3480.7860384524843,18440.90907479892,4298.833945721346,2068.839404275423
2,3480.7860384524843,9440.909074798921,3563.6956154906325,2068.839404275423
3,3480.7860384524843,6440.909074798921,3063.6956154906325,2068.839404275423
4,3480.7860384524843,4940.909074798921,2813.6956154906325,2068.839404275423
5,3480.7860384524843,4040.90907479892,2943.0684881652383,2068.839404275423
6,3480.7860384524843,3440.90907479892,2829.9124367203312,2068.839404275423
7,3480.7860384524843,3012.3376462274914,2615.6267224346166,2068.839404275423
8,3480.7860384524843,2690.90907479892,2454.9124367203312,2068.839404275423
9,3480.7860384524843,2440.9090747989203,2329.9124367203312,1985.890761564887
10,3480.7860384524843,2240.90907479892,2229.9124367203312,1919.2240948982205
