Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,4696.511845935059,22036.549918750003,7136.245685565746,3454.251321185303
2,4696.511845935059,11771.169059375,7136.245685565746,3454.251321185303
3,4696.511845935059,8349.375439583333,7136.245685565746,3454.251321185303
4,4696.511845935059,6638.4786296875,7136.245685565746,3454.251321185303
5,4696.511845935059,5611.94054375,7136.245685565746,3454.251321185303
6,4696.511845935059,4927.581819791667,7136.245685565746,3454.251321185303
7,4696.511845935059,4438.754159821428,7136.245685565746,3436.4201475856235
8,4696.511845935059,4072.13341484375,7136.245685565746,3416.3308618713377
9,4696.511845935059,3786.9839465277782,7136.245685565746,3400.7058618713377
10,4696.511845935059,3558.864371875,5137.017257769776,3384.470736785888
