Server number,OCC,DINA,MEIDA,Ours
1,11704.162703062997,2780.0227030629953,1618.0426463002998,1618.0426463002998
2,11704.162703062997,8761.210370909674,822.5958673022001,822.5958673022002
3,11704.162703062997,8761.210370909674,557.7242404017,557.7242404017001
4,11704.162703062997,8761.210370909674,425.15835730120006,425.15835730120006
5,11704.162703062997,8761.210370909674,341.0059778989,341.0059778989
6,11704.162703062997,8761.210370909674,292.6210747024,292.62107470240005
7,11704.162703062997,8761.210370909674,238.55539129949997,238.5553912995
8,11704.162703062997,8761.210370909674,214.8421934988,214.8421934988
9,11704.162703062997,8761.210370909674,208.3606296008,208.3606296008
10,11704.162703062997,8761.210370909674,207.60324820099999,207.603248201
11,11704.162703062997,8761.210370909674,185.9102653995,185.91026539950002
12,11704.162703062997,8761.210370909674,159.3355024999,159.3355024999
