Server number,OCC,DINA,MEIDA,Ours
1,8338.397305194927,1736.1473051949276,876.4961440010796,951.6211740265518
2,8338.397305194927,4056.73051900108,439.60227990208006,443.69808160188
3,8338.397305194927,4056.73051900108,293.70128880018007,294.3341025013001
4,8338.397305194927,4056.73051900108,220.72542999998004,219.54291910068
5,8338.397305194927,4056.73051900108,183.13481609859997,192.2670881986
6,8338.397305194927,4056.73051900108,147.96052689988,150.09980949879997
7,8338.397305194927,4056.73051900108,131.48136090309998,144.31117839949997
8,8338.397305194927,4056.73051900108,122.26390550139999,141.2736749998
9,8338.397305194927,4056.73051900108,121.7711534007,139.0914737995
10,8338.397305194927,4056.73051900108,121.0966273983,138.22055969829998
11,8338.397305194927,4056.73051900108,114.15842259868,136.05837979888
12,8338.397305194927,4056.73051900108,74.34396049858,91.90123900130001
