Server number,OCC,DINA,MEIDA,Ours
1,7886.538307694436,1498.0683076944358,8596.983331803323,7675.533394571632
2,7886.538307694436,1056.24475270176,1026.24475270176,995.0851092017599
3,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
4,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
5,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
6,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
7,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
8,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
9,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
10,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
11,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
12,7886.538307694436,1056.24475270176,1026.24475270176,994.7989027018599
