Server number,OCC,DINA,MEIDA,Ours
1,3391.7447522834896,774.3497522834896,433.54587349930995,578.067508726072
2,3391.7447522834896,1333.54587349931,218.78694299861002,223.56159979831
3,3391.7447522834896,1333.54587349931,147.02403929881,147.7884367998
4,3391.7447522834896,1333.54587349931,119.71652470130002,137.1886763003
5,3391.7447522834896,1333.54587349931,112.35392849941002,104.79086649940999
6,3391.7447522834896,1333.54587349931,74.93894469941,90.52061549940001
7,3391.7447522834896,1333.54587349931,68.1554547999,90.2515014002
8,3391.7447522834896,1333.54587349931,60.61643269940001,87.95989389940002
9,3391.7447522834896,1333.54587349931,60.61643269940001,87.8126134
10,3391.7447522834896,1333.54587349931,60.61643269940001,87.7268255002
11,3391.7447522834896,1333.54587349931,60.61643269940001,87.6343673992
12,3391.7447522834896,1333.54587349931,60.61643269940001,87.5637434004
