Server number,OCC,DINA,MEIDA,Ours
1,4696.511845935059,1873.3768459350588,5182.015805895996,3454.251321185303
2,4696.511845935059,1711.0958171875002,1850.9835125,2187.7000549621584
3,4696.511845935059,1711.0958171875002,1850.9835125,1903.5154309020995
4,4696.511845935059,1711.0958171875002,1850.9835125,1848.4616494262696
5,4696.511845935059,1711.0958171875002,1850.9835125,1833.6273906249999
6,4696.511845935059,1711.0958171875002,1850.9835125,1833.6273906249999
7,4696.511845935059,1711.0958171875002,1850.9835125,1833.6273906249999
8,4696.511845935059,1711.0958171875002,1850.9835125,1833.6273906249999
9,4696.511845935059,1711.0958171875002,1850.9835125,1833.6273906249999
10,4696.511845935059,1711.0958171875002,1850.9835125,1833.6273906249999
11,4696.511845935059,1711.0958171875002,1850.9835125,1833.6273906249999
12,4696.511845935059,1711.0958171875002,1850.9835125,1833.6273906249999
