Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,8292.496852466656,15876.49614400108,8978.45713052596,7708.404899118804
2,8292.496852466656,8376.496144001081,8978.45713052596,7708.404899118804
3,8292.496852466656,5876.49614400108,8978.45713052596,6948.120827005768
4,8292.496852466656,4626.49614400108,8978.45713052596,5959.594840372467
5,8292.496852466656,3876.4961440010798,8149.977832582845,5059.594840372466
6,8292.496852466656,3376.4961440010798,7049.977832582845,4635.377264376249
7,8292.496852466656,3019.353286858223,6264.263546868558,4135.377264376248
8,8292.496852466656,2751.4961440010798,5674.977832582845,3709.594840372467
9,8292.496852466656,2543.1628106677467,5177.988573091879,3468.7105977095825
10,8292.496852466656,2376.49614400108,4745.53306650008,3213.52122990128
