Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3473.4887537483332,12433.545873499312,4201.484085652972,3278.9356515312434
2,3473.4887537483332,6433.54587349931,4196.446275652972,3268.665944731243
3,3473.4887537483332,4433.54587349931,4193.920252752972,2984.9708461594655
4,3473.4887537483332,3433.5458734993094,4193.920252752972,2546.647449858196
5,3473.4887537483332,2833.5458734993094,3815.7437398857355,2202.78332859931
6,3473.4887537483332,2433.5458734993094,3315.7437398857355,1902.7833285993104
7,3473.4887537483332,2147.831587785024,2958.6008827428777,1688.4976143135957
8,3473.4887537483332,1933.5458734993101,2668.1910637993096,1527.78332859931
9,3473.4887537483332,1766.8792068326436,2418.19106379931,1402.7833285993102
10,3473.4887537483332,1633.5458734993101,2218.19106379931,1302.78332859931
