Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,11760.451457335455,66258.66764630031,12177.317760893804,7852.6698631748095
2,11760.451457335455,33938.355146300295,12177.317760893804,7805.2266000748095
3,11760.451457335455,23164.9176463003,12177.317760893804,7805.2266000748095
4,11760.451457335455,17778.1988963003,12177.317760893804,7781.45177247481
5,11760.451457335455,14546.1676463003,12177.317760893804,7781.451772474809
6,11760.451457335455,12391.480146300302,12177.317760893804,7781.451772474809
7,11760.451457335455,10852.4176463003,12177.317760893804,7781.451772474809
8,11760.451457335455,9698.1207713003,12177.317760893804,7781.451772474809
9,11760.451457335455,8800.334312966968,12177.317760893804,7781.451772474809
10,11760.451457335455,8082.105146300299,12177.317760893804,7781.451772474809
