Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3419.5872167645666,74627.10246639836,4176.440561491128,4176.440561491128
2,3419.5872167645666,37502.102466398355,4176.440561491128,4176.440561491128
3,3419.5872167645666,25127.102466398355,4176.440561491128,4176.440561491128
4,3419.5872167645666,18939.602466398355,4176.440561491128,4176.440561491128
5,3419.5872167645666,15227.102466398355,4176.440561491128,4176.440561491128
6,3419.5872167645666,12752.102466398355,4176.440561491128,4176.440561491128
7,3419.5872167645666,10984.245323541212,4176.440561491128,4176.440561491128
8,3419.5872167645666,9658.352466398355,4176.440561491128,4176.440561491128
9,3419.5872167645666,8627.102466398355,22448.092315839287,22448.092315839287
10,3419.5872167645666,7802.102466398355,20281.42564917262,20281.42564917262
