Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
2,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
3,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
4,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
5,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
6,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
7,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
8,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
9,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
10,180.4397340043023,180.4347340043023,800.7522835953665,800.7522835953665
