Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,22186.01141446179,510382.20603360236,22489.397409334844,22489.397409334844
10,22186.01141446179,53182.206033602415,159199.61704800036,159199.61704800036
20,22186.01141446179,27782.206033602415,80999.6170480003,80999.6170480003
30,22186.01141446179,19315.539366935747,54932.95038133366,54932.95038133366
40,22186.01141446179,15082.206033602415,43069.41252071334,43069.41252071334
50,22186.01141446179,12542.206033602415,34913.154402502405,34913.154402502405
60,22186.01141446179,10848.872700269081,29473.154402502423,29473.154402502423
70,22186.01141446179,9639.348890745272,25587.44011678812,25587.44011678812
80,22186.01141446179,8732.206033602415,22673.154402502405,22673.154402502405
90,22186.01141446179,8026.650478046859,20406.487735835744,20406.487735835744
100,22186.01141446179,7462.206033602415,18593.154402502405,18593.154402502405
