Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,24666.096232479507,600719.7379507718,24808.97985232206,24808.97985232206
10,24666.096232479507,63279.11295077174,24808.97985232206,24808.97985232206
20,24666.096232479507,33421.30045077174,124359.25002388886,124359.25002388886
30,24666.096232479507,23468.69628410507,84241.02085722219,84241.02085722219
40,24666.096232479507,18492.39420077174,64181.90627388887,64181.90627388887
50,24666.096232479507,15506.612950771741,53648.47470756991,53648.47470756991
60,24666.096232479507,13516.092117438406,45275.9747075699,45275.9747075699
70,24666.096232479507,12094.291522200312,39295.61756471277,39295.61756471277
80,24666.096232479507,11027.941075771741,34810.34970756991,34810.34970756991
90,24666.096232479507,10198.557395216185,31321.808040903252,31321.808040903252
100,24666.096232479507,9535.050450771741,28530.974707569912,28530.974707569912
