Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
10,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
20,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
30,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
40,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
50,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
60,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
70,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
80,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
90,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
100,1137.475180990934,1137.475180990934,1138.2851809909346,442.0281259372231
