Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3595.8099611350617,3610.8185442039085,3398.5692678538308,3398.5692678538308
10,3595.8099611350617,3610.8108194419456,3398.5692598072023,3398.5692598072023
20,3595.8099611350617,3610.810390288503,3398.5692593601702,3398.5692593601702
30,3595.8099611350617,3610.8102472373557,3398.569259211157,3398.569259211157
40,3595.8099611350617,3610.810175711782,3398.569259136652,3398.569259136652
50,3595.8099611350617,3610.8101327964378,3398.569259091949,3398.569259091949
60,3595.8099611350617,3610.8101041862083,3398.569259062144,3398.569259062144
70,3595.8099611350617,3610.8100837503307,3398.569259040857,3398.569259040857
80,3595.8099611350617,3610.8100684234214,3398.569259024891,3398.569259024891
90,3595.8099611350617,3610.8100565024924,3398.5692590124736,3398.5692590124736
100,3595.8099611350617,3610.8100469657493,3398.5692590025396,3398.5692590025396
