Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,4079.2286826285535,4094.2991353186776,3746.4461162848315,3746.4461162848315
10,4079.2286826285535,4094.2357278975655,3746.4461063774224,3746.4461063774224
20,4079.2286826285535,4094.2322052630593,3746.446105827009,3746.446105827009
30,4079.2286826285535,4094.2310310515572,3746.4461056435407,3746.4461056435407
40,4079.2286826285535,4094.230443945806,3746.446105551804,3746.446105551804
50,4079.2286826285535,4094.2300916823556,3746.4461054967624,3746.4461054967624
60,4079.2286826285535,4094.229856840055,3746.44610546007,3746.44610546007
70,4079.2286826285535,4094.229689095554,3746.44610543386,3746.44610543386
80,4079.2286826285535,4094.2295632871796,3746.446105414204,3746.446105414204
90,4079.2286826285535,4094.2294654362213,3746.4461053989144,3746.4461053989144
100,4079.2286826285535,4094.2293871554543,3746.4461053866826,3746.4461053866826
