Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
1,12432.211612063105,12497.696078615842,11562.174040398824,11562.174040398824
10,12432.211612063105,12497.26005871838,11562.17401915572,11562.17401915572
20,12432.211612063105,12497.235835390744,11562.174017975542,11562.174017975542
30,12432.211612063105,12497.227760948199,11562.174017582158,11562.174017582158
40,12432.211612063105,12497.223723726926,11562.174017385481,11562.174017385481
50,12432.211612063105,12497.221301394162,11562.174017267465,11562.174017267465
60,12432.211612063105,12497.219686505654,11562.17401718877,11562.17401718877
70,12432.211612063105,12497.21853301386,11562.17401713258,11562.17401713258
80,12432.211612063105,12497.217667895016,11562.174017090443,11562.174017090443
90,12432.211612063105,12497.216995024806,11562.174017057645,11562.174017057645
100,12432.211612063105,12497.216456728635,11562.174017031415,11562.174017031415
