Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
1,3612.9265659421626,3628.0038135617915,3420.2251951578623,3420.2251951578623
10,3612.9265659421626,3627.9342907041255,3420.225187111234,3420.225187111234
20,3612.9265659421626,3627.930428323144,3420.2251866642014,3420.2251866642014
30,3612.9265659421626,3627.929140862817,3420.2251865151884,3420.2251865151884
40,3612.9265659421626,3627.9284971326533,3420.225186440683,3420.225186440683
50,3612.9265659421626,3627.928110894555,3420.2251863959805,3420.2251863959805
60,3612.9265659421626,3627.9278534024897,3420.2251863661754,3420.2251863661754
70,3612.9265659421626,3627.9276694795853,3420.2251863448887,3420.2251863448887
80,3612.9265659421626,3627.927531537408,3420.2251863289225,3420.2251863289225
90,3612.9265659421626,3627.9274242490474,3420.2251863165047,3420.2251863165047
100,3612.9265659421626,3627.927338418359,3420.225186306571,3420.225186306571
