Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
1,1505.8032000000003,1515.8227796601477,1505.9032000000007,1024.7880011589727
10,1505.8032000000003,1515.805157966015,1505.9032000000007,1027.5687000807457
20,1505.8032000000003,1515.8041789830077,1505.9032000000007,1093.4688250000002
30,1505.8032000000003,1515.8038526553382,1505.9032000000007,1059.697775012915
40,1505.8032000000003,1515.803689491504,1505.9032000000007,1069.7975500071307
50,1505.8032000000003,1515.8035915932032,1505.9032000000007,1028.0255250228176
60,1505.8032000000003,1515.8035263276693,1505.9032000000007,896.6039625190147
70,1505.8032000000003,1515.8034797094308,1505.9032000000007,889.6899750151077
80,1505.8032000000003,1515.8034447457521,1505.9032000000007,899.7374625000003
90,1505.8032000000003,1515.8034175517796,1505.9032000000007,893.3752500077875
100,1505.8032000000003,1515.8033957966018,1505.9032000000007,924.3251000048434
