Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
1,12387.051476478182,12452.535943030918,11514.340513907844,11514.340513907844
10,12387.051476478182,12452.099923133457,11514.34049266474,11514.34049266474
20,12387.051476478182,12452.07569980582,11514.340491484561,11514.340491484561
30,12387.051476478182,12452.067625363274,11514.340491091178,11514.340491091178
40,12387.051476478182,12452.063588142002,11514.3404908945,11514.3404908945
50,12387.051476478182,12452.061165809238,11514.340490776483,11514.340490776483
60,12387.051476478182,12452.059550920729,11514.340490697788,11514.340490697788
70,12387.051476478182,12452.058397428935,11514.3404906416,11514.3404906416
80,12387.051476478182,12452.057532310093,11514.340490599461,11514.340490599461
90,12387.051476478182,12452.056859439881,11514.340490566665,11514.340490566665
100,12387.051476478182,12452.056321143711,11514.340490540435,11514.340490540435
