Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
1,238.98657532960584,238.98657532960584,248.05765806748755,248.05765806748755
10,238.98657532960584,238.98657532960584,248.05765789314395,248.05765789314395
20,238.98657532960584,238.98657532960584,248.0576578834582,248.0576578834582
30,238.98657532960584,238.98657532960584,248.05765788022958,248.05765788022958
40,238.98657532960584,238.98657532960584,248.05765787861534,248.05765787861534
50,238.98657532960584,238.98657532960584,248.0576578776468,248.0576578776468
60,238.98657532960584,238.98657532960584,248.05765787700105,248.05765787700105
70,238.98657532960584,238.98657532960584,248.05765787653982,248.05765787653982
80,238.98657532960584,238.98657532960584,248.05765787619393,248.05765787619393
90,238.98657532960584,238.98657532960584,248.05765787592483,248.05765787592483
100,238.98657532960584,238.98657532960584,248.05765787570962,248.05765787570962
