name,type,group,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
embedding_projection,Linear,Embedding,0.7049060998,0.02529517444,0.6764409991,0.759134,0.7480684995,0.7569208999,0.2080323666,0.01196761571,0.1929039991,0.2361329989,65536,393216,"[1, 128, 128]","[1, 128, 768]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,855040,855040,60,855100,393216,3072,458752,1,60
encoder0_attn_q_proj,Linear,Encoder0,2.807916499,0.1662663683,2.663571999,3.184919,3.1109192,3.17011904,1.114397733,0.01986637755,1.092966999,1.179752,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding_projection'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_k_proj,Linear,Encoder0,2.5717459,0.08160180409,2.483788001,2.779492001,2.7070447,2.765002541,1.116320333,0.0321490407,1.089226,1.265320001,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_q_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_v_proj,Linear,Encoder0,2.6738693,0.1966793515,2.509217,3.068233,3.01324345,3.05723509,1.1153717,0.01434581379,1.091894001,1.14683,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_k_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_qk_matmul,MatMul,Encoder0,9.3622433,0.1502586609,9.128186,9.584672,9.56792345,9.58132229,0.2949340333,0.05543525283,0.2627270005,0.4798570008,786432,786432,"[1, 12, 128, 64]","[1, 12, 128, 128]",['encoder0_attn_v_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder0_attn_softmax,Softmax,Encoder0,2.2345146,0.02138301705,2.212844,2.285077,2.272382501,2.2825381,0.3121622999,0.008624568563,0.2998939999,0.3394830001,786432,786432,"[1, 12, 128, 128]","[1, 12, 128, 128]",['encoder0_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1572864,1572864,60,1572924,0,0,1572864,1,60
encoder0_attn_v_matmul,MatMul,Encoder0,7.7376863,0.4621387622,7.321949,8.990136001,8.55445095,8.902998991,0.2274698334,0.008616982989,0.2177040005,0.2456699985,1179648,393216,"[1, 12, 128, 128]","[1, 12, 128, 64]",['encoder0_attn_softmax'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder0_attn_out_proj,Linear,Encoder0,2.5116608,0.04610905864,2.468502,2.618295001,2.598418051,2.614319611,1.1211041,0.03938830657,1.087659,1.252301001,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_norm1,LayerNorm,Encoder0,0.3086637,0.02445678477,0.27873,0.3714450013,0.3483798013,0.3668319613,0.05157750002,0.004098870716,0.0487010002,0.0610799998,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder0_ffn_fc1,Linear,Encoder0,22.8566562,0.6797049907,21.878466,23.868791,23.7181535,23.8386635,4.384449733,0.1928724964,4.214588,4.93304,393216,1572864,"[1, 128, 768]","[1, 128, 3072]",['encoder0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11415552,11415552,60,11415612,9437184,12288,1966080,1,60
encoder0_ffn_gelu,GELU,Encoder0,9.750763,0.1414048995,9.581173001,10.039529,9.98439545,10.02850229,0.8622914667,0.06612077991,0.7746009996,0.9389400002,1572864,1572864,"[1, 128, 3072]","[1, 128, 3072]",['encoder0_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3145728,3145728,60,3145788,0,0,3145728,1,60
encoder0_ffn_fc2,Linear,Encoder0,10.571572,0.4879221397,9.665443,11.170253,11.1526562,11.16673364,4.6332448,0.2422559317,4.416602,5.275258,1572864,393216,"[1, 128, 3072]","[1, 128, 768]",['encoder0_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11406336,11406336,60,11406396,9437184,3072,1966080,1,60
encoder0_norm2,LayerNorm,Encoder0,0.3095265003,0.01663779885,0.2875059999,0.3383460007,0.3336583502,0.3374084706,0.04993873311,0.002879926505,0.0479950013,0.06119700083,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder1_attn_q_proj,Linear,Encoder1,2.8262793,0.1184333989,2.665780999,3.099945001,3.02172375,3.084300751,1.104806767,0.01171461892,1.087484001,1.142586001,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder1_attn_k_proj,Linear,Encoder1,2.5717273,0.07590214351,2.492441001,2.682747001,2.679756751,2.682148951,1.1142171,0.01673923683,1.092187,1.169628,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder1_attn_q_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder1_attn_v_proj,Linear,Encoder1,2.5936536,0.1231196625,2.478260001,2.862793001,2.7901738,2.84826916,1.114404367,0.04078304246,1.086721,1.31379,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder1_attn_k_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder1_attn_qk_matmul,MatMul,Encoder1,9.446246,0.2543664388,9.174692001,9.968976001,9.875621701,9.950305141,0.2761390999,0.01343945697,0.2604090005,0.3111709993,786432,786432,"[1, 12, 128, 64]","[1, 12, 128, 128]",['encoder1_attn_v_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder1_attn_softmax,Softmax,Encoder1,2.2992861,0.06257736722,2.216867,2.443792,2.41117195,2.43726799,0.3149208999,0.009850850274,0.3034169986,0.3414040002,786432,786432,"[1, 12, 128, 128]","[1, 12, 128, 128]",['encoder1_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1572864,1572864,60,1572924,0,0,1572864,1,60
encoder1_attn_v_matmul,MatMul,Encoder1,7.4044287,0.1040385515,7.245197001,7.538034,7.531725,7.5367722,0.2306750001,0.01036362004,0.2176350008,0.2560230005,1179648,393216,"[1, 12, 128, 128]","[1, 12, 128, 64]",['encoder1_attn_softmax'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder1_attn_out_proj,Linear,Encoder1,2.5828031,0.1325693552,2.455915001,2.87341,2.831857899,2.86509958,1.1143031,0.03580915939,1.085424999,1.285785,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder1_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder1_norm1,LayerNorm,Encoder1,0.2773352999,0.01069590292,0.2666050004,0.2983180002,0.2937284498,0.2974000901,0.05320543326,0.005649516294,0.04807600089,0.06839700109,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder1_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder1_ffn_fc1,Linear,Encoder1,22.8840263,0.623678754,21.808739,23.811954,23.71693605,23.79295041,4.364794733,0.1405694901,4.219642,4.763498,393216,1572864,"[1, 128, 768]","[1, 128, 3072]",['encoder1_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11415552,11415552,60,11415612,9437184,12288,1966080,1,60
encoder1_ffn_gelu,GELU,Encoder1,9.7677413,0.2032166895,9.549566001,10.131419,10.1224775,10.1296307,0.8581775336,0.06687269743,0.7712810002,0.9758570013,1572864,1572864,"[1, 128, 3072]","[1, 128, 3072]",['encoder1_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3145728,3145728,60,3145788,0,0,3145728,1,60
encoder1_ffn_fc2,Linear,Encoder1,10.5157309,0.5284228709,9.756983,11.21662,11.1117961,11.19565522,4.6641431,0.2971929164,4.434969002,5.650465,1572864,393216,"[1, 128, 3072]","[1, 128, 768]",['encoder1_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11406336,11406336,60,11406396,9437184,3072,1966080,1,60
encoder1_norm2,LayerNorm,Encoder1,0.2851293995,0.008882888098,0.2697029995,0.3009749998,0.2990966997,0.3005993398,0.05264710004,0.004500297156,0.04826000077,0.06481200035,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder1_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder2_attn_q_proj,Linear,Encoder2,2.5282873,0.06268612906,2.472951999,2.692456001,2.6325583,2.680476461,1.099375867,0.01452617948,1.085996,1.159569001,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder1_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder2_attn_k_proj,Linear,Encoder2,2.6938136,0.1621340315,2.472601,2.978775001,2.93047515,2.969115031,1.1066482,0.00816534917,1.092749999,1.123545999,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder2_attn_q_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder2_attn_v_proj,Linear,Encoder2,2.497247,0.0256996092,2.458000999,2.559515,2.5425779,2.55612758,1.161641233,0.1375604611,1.086073,1.542529999,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder2_attn_k_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder2_attn_qk_matmul,MatMul,Encoder2,9.2640977,0.1195321454,9.052255,9.443745001,9.419941801,9.438984361,0.2793316668,0.01956232985,0.2629680002,0.3514489999,786432,786432,"[1, 12, 128, 64]","[1, 12, 128, 128]",['encoder2_attn_v_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder2_attn_softmax,Softmax,Encoder2,2.2366057,0.02775572892,2.214504,2.305713999,2.288809749,2.302333149,0.3137061,0.01009967097,0.3029179989,0.3473939996,786432,786432,"[1, 12, 128, 128]","[1, 12, 128, 128]",['encoder2_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1572864,1572864,60,1572924,0,0,1572864,1,60
encoder2_attn_v_matmul,MatMul,Encoder2,7.415636,0.1938505051,7.246501,7.828131,7.754799,7.8134646,0.2279015333,0.01270909703,0.2156549999,0.2657160003,1179648,393216,"[1, 12, 128, 128]","[1, 12, 128, 64]",['encoder2_attn_softmax'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder2_attn_out_proj,Linear,Encoder2,2.616227,0.08600063956,2.473632001,2.770372001,2.738116,2.763920801,1.100633633,0.01109971023,1.086479,1.135373999,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder2_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder2_norm1,LayerNorm,Encoder2,0.2902863,0.009785583308,0.2796299996,0.3084019991,0.3066915498,0.3080599092,0.05443483351,0.01060799502,0.04812600127,0.09747800141,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder2_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder2_ffn_fc1,Linear,Encoder2,22.9307559,0.793100409,21.688415,24.421687,24.084988,24.3543472,4.4110378,0.1815852742,4.20105,4.806275001,393216,1572864,"[1, 128, 768]","[1, 128, 3072]",['encoder2_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11415552,11415552,60,11415612,9437184,12288,1966080,1,60
encoder2_ffn_gelu,GELU,Encoder2,9.7365696,0.1319814584,9.585131,9.942379,9.9343852,9.94078024,0.8656619332,0.05471005574,0.7857380006,0.9480149984,1572864,1572864,"[1, 128, 3072]","[1, 128, 3072]",['encoder2_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3145728,3145728,60,3145788,0,0,3145728,1,60
encoder2_ffn_fc2,Linear,Encoder2,10.4069814,0.5955256649,9.439578,11.289411,11.20646565,11.27282193,4.729039367,0.4372564966,4.398114001,5.875401999,1572864,393216,"[1, 128, 3072]","[1, 128, 768]",['encoder2_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11406336,11406336,60,11406396,9437184,3072,1966080,1,60
encoder2_norm2,LayerNorm,Encoder2,0.2996102001,0.02014360638,0.2808509998,0.3453970003,0.3381740499,0.3439524102,0.05225496661,0.005078782196,0.04823000017,0.06946800022,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder2_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder3_attn_q_proj,Linear,Encoder3,2.620676,0.1690300708,2.465599,3.027016999,2.92222415,3.006058429,1.1102858,0.02888363381,1.086042001,1.196669,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder2_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder3_attn_k_proj,Linear,Encoder3,2.4989995,0.02316349706,2.460146001,2.540928001,2.532795601,2.539301521,1.107740933,0.02560809988,1.084804,1.188058,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder3_attn_q_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder3_attn_v_proj,Linear,Encoder3,2.5324564,0.08027556547,2.469654,2.75587,2.6715958,2.73901516,1.1005819,0.01522904718,1.083024999,1.16557,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder3_attn_k_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder3_attn_qk_matmul,MatMul,Encoder3,9.5280053,0.2727386602,9.196338,10.217915,10.00401425,10.17513485,0.2873770999,0.01999856195,0.265916,0.3549289995,786432,786432,"[1, 12, 128, 64]","[1, 12, 128, 128]",['encoder3_attn_v_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder3_attn_softmax,Softmax,Encoder3,2.2751166,0.07443952166,2.186987,2.442692999,2.400649499,2.434284299,0.3297698669,0.01200907593,0.3186900012,0.3739490003,786432,786432,"[1, 12, 128, 128]","[1, 12, 128, 128]",['encoder3_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1572864,1572864,60,1572924,0,0,1572864,1,60
encoder3_attn_v_matmul,MatMul,Encoder3,7.4203836,0.1449446109,7.257842,7.714880001,7.65884285,7.703672571,0.2281247331,0.01038475336,0.2174769998,0.2603459998,1179648,393216,"[1, 12, 128, 128]","[1, 12, 128, 64]",['encoder3_attn_softmax'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder3_attn_out_proj,Linear,Encoder3,2.5138673,0.06450414661,2.452126,2.69501,2.6250746,2.68102292,1.111014267,0.03232927987,1.083373001,1.237155,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder3_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder3_norm1,LayerNorm,Encoder3,0.2878180998,0.009770165198,0.2769279999,0.304060999,0.3035722997,0.3039632592,0.05140916667,0.004579385035,0.04749599975,0.06267200115,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder3_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder3_ffn_fc1,Linear,Encoder3,22.7624748,0.7129423446,21.823782,23.696851,23.57431735,23.67234427,4.384431467,0.1269042931,4.199065999,4.585822,393216,1572864,"[1, 128, 768]","[1, 128, 3072]",['encoder3_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11415552,11415552,60,11415612,9437184,12288,1966080,1,60
encoder3_ffn_gelu,GELU,Encoder3,9.7810785,0.1158380323,9.634226,9.984703,9.95445985,9.97865437,0.8599227667,0.0552658802,0.7761659999,0.931822,1572864,1572864,"[1, 128, 3072]","[1, 128, 3072]",['encoder3_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3145728,3145728,60,3145788,0,0,3145728,1,60
encoder3_ffn_fc2,Linear,Encoder3,10.4764986,0.6841203602,9.451889,11.297365,11.28468625,11.29482925,4.616357567,0.1140459545,4.411573,4.785743,1572864,393216,"[1, 128, 3072]","[1, 128, 768]",['encoder3_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11406336,11406336,60,11406396,9437184,3072,1966080,1,60
encoder3_norm2,LayerNorm,Encoder3,0.3395342006,0.05376935044,0.2890579999,0.4734400009,0.428902151,0.4645324309,0.05133446666,0.006267296038,0.0473580003,0.07982100033,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder3_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder4_attn_q_proj,Linear,Encoder4,2.5265403,0.03931117283,2.484805002,2.606917,2.5934602,2.60422564,1.114995867,0.02365645637,1.088327001,1.183525999,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder3_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder4_attn_k_proj,Linear,Encoder4,2.646701,0.2448395803,2.497327001,3.360852999,3.052376649,3.299157729,1.107434967,0.01660301687,1.086112999,1.161931999,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder4_attn_q_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder4_attn_v_proj,Linear,Encoder4,2.5094947,0.03068580427,2.466426,2.564893,2.5542046,2.56275532,1.105754567,0.01474999393,1.083195,1.137067999,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder4_attn_k_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder4_attn_qk_matmul,MatMul,Encoder4,9.3902096,0.1386178085,9.192739999,9.598815999,9.58502665,9.596058129,0.2768200665,0.01561725153,0.263001999,0.3290450004,786432,786432,"[1, 12, 128, 64]","[1, 12, 128, 128]",['encoder4_attn_v_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder4_attn_softmax,Softmax,Encoder4,2.3004507,0.06383770548,2.217191,2.456832,2.4089205,2.4472497,0.3103387668,0.01481114065,0.2960229995,0.3520940008,786432,786432,"[1, 12, 128, 128]","[1, 12, 128, 128]",['encoder4_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1572864,1572864,60,1572924,0,0,1572864,1,60
encoder4_attn_v_matmul,MatMul,Encoder4,7.799007,0.4796779326,7.438180999,9.141448001,8.6433385,9.041826101,0.2267830666,0.00925351862,0.216045999,0.2480600015,1179648,393216,"[1, 12, 128, 128]","[1, 12, 128, 64]",['encoder4_attn_softmax'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder4_attn_out_proj,Linear,Encoder4,2.5183315,0.03273377897,2.480413999,2.598171,2.572932301,2.593123261,1.101617433,0.01363828202,1.085458,1.150045,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder4_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder4_norm1,LayerNorm,Encoder4,0.2910663001,0.007220868886,0.2832450009,0.3074059987,0.3028596495,0.3064967288,0.0514290669,0.005841162067,0.04792099935,0.07957399976,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder4_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder4_ffn_fc1,Linear,Encoder4,22.8574745,0.5755366323,21.780647,23.583931,23.52516235,23.57217727,4.424449467,0.1472472967,4.220986,4.702059001,393216,1572864,"[1, 128, 768]","[1, 128, 3072]",['encoder4_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11415552,11415552,60,11415612,9437184,12288,1966080,1,60
encoder4_ffn_gelu,GELU,Encoder4,9.640004,0.08702027092,9.544646,9.799103,9.78268655,9.79581971,0.8573439665,0.05903254217,0.7757660005,0.9416060002,1572864,1572864,"[1, 128, 3072]","[1, 128, 3072]",['encoder4_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3145728,3145728,60,3145788,0,0,3145728,1,60
encoder4_ffn_fc2,Linear,Encoder4,10.0738454,0.2816897044,9.679155,10.664843,10.50611765,10.63309793,4.5441303,0.1325430418,4.408258001,4.822003,1572864,393216,"[1, 128, 3072]","[1, 128, 768]",['encoder4_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11406336,11406336,60,11406396,9437184,3072,1966080,1,60
encoder4_norm2,LayerNorm,Encoder4,0.3093664,0.03075035745,0.2798839996,0.3806799996,0.3671399493,0.3779719895,0.05128196626,0.004222621456,0.04728000022,0.06004199895,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder4_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder5_attn_q_proj,Linear,Encoder5,2.5154863,0.02653555349,2.483621,2.564418999,2.555242149,2.562583629,1.106474433,0.03060709356,1.086660001,1.261456,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder4_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
