name,type,group,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
embedding,Linear,Embedding,2.5440342,0.03558917659,2.473833001,2.580094,2.5798402,2.58004324,1.108832967,0.02928795776,1.088597999,1.257323998,393216,393216,"[1, 128, 768]","[1, 128, 768]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_q_proj,Linear,Encoder0,2.5485088,0.04811200966,2.481899,2.623324001,2.613929351,2.621445071,1.1598581,0.07689784632,1.109618001,1.375013999,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_k_proj,Linear,Encoder0,2.566783,0.07004559209,2.457116001,2.720734999,2.667575149,2.710103029,1.1034449,0.02610061486,1.08362,1.221269,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_q_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_v_proj,Linear,Encoder0,2.6294845,0.0817464885,2.514312,2.797146999,2.7613918,2.789995959,1.098846733,0.0118577022,1.084732001,1.140864,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_k_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_softmax,Softmax,Encoder0,2.2532643,0.03803196585,2.217090001,2.340273999,2.320150449,2.336249289,0.2789435001,0.01830497459,0.2612749995,0.3271649985,786432,786432,"[1, 12, 128, 128]","[1, 12, 128, 128]",['encoder0_attn_v_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1572864,1572864,60,1572924,0,0,1572864,1,60
encoder0_attn_out_proj,Linear,Encoder0,2.562987,0.1304872159,2.481536001,2.948978999,2.76941325,2.91306585,0.3253359665,0.01592775204,0.3110059988,0.3757720006,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_softmax'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_norm1,LayerNorm,Encoder0,0.3030034002,0.01904396838,0.273216001,0.3353089996,0.3286714998,0.3339814997,0.2275399665,0.01241482925,0.2174429992,0.2759990002,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder0_ffn_fc1,Linear,Encoder0,22.0601963,0.6263924779,21.309849,23.459215,23.06368165,23.38010833,1.097705867,0.01863416043,1.083316001,1.165524,393216,1572864,"[1, 128, 768]","[1, 128, 3072]",['encoder0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11415552,11415552,60,11415612,9437184,12288,1966080,1,60
encoder0_ffn_gelu,GELU,Encoder0,9.7412965,0.1572303324,9.586849001,10.130078,10.0193582,10.10793404,0.05228863326,0.005385207306,0.04786799946,0.06680700062,1572864,1572864,"[1, 128, 3072]","[1, 128, 3072]",['encoder0_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3145728,3145728,60,3145788,0,0,3145728,1,60
encoder0_ffn_fc2,Linear,Encoder0,10.0034094,0.407077075,9.475244,10.896719,10.66605575,10.85058635,4.316758934,0.04980199547,4.232617001,4.424212,1572864,393216,"[1, 128, 3072]","[1, 128, 768]",['encoder0_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11406336,11406336,60,11406396,9437184,3072,1966080,1,60
