name,type,group,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
patch_embed,Conv2d,PatchEmbed,25.1004779,0.3682447802,24.437413,25.720393,25.60763785,25.69784197,3.7213025,0.3374578121,3.162386,4.196092999,602112,602112,"[1, 3, 224, 224]","[1, 768, 14, 14]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3566592,3566592,60,3566652,2359296,3072,1204224,1,60
block0_norm1,LayerNorm,Block0,0.4306122999,0.02057292331,0.4057539991,0.4679499998,0.4629779498,0.4669555898,0.08502019982,0.006612240289,0.07898199965,0.1005530003,605184,605184,"[1, 197, 768]","[1, 197, 768]",['patch_embed'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block0_attn_qkv_proj,Linear,Block0,24.0786733,0.8211712293,23.155901,26.109364,25.516354,25.990762,4.8483926,0.2080678184,4.667075,5.332201,605184,1815552,"[1, 197, 768]","[1, 197, 2304]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,9507840,9507840,60,9507900,7077888,9216,2420736,1,60
block0_attn_qk_matmul,MatMul,Block0,22.4506707,0.2769041155,22.088187,23.026743,22.9021038,23.00181516,0.8578141,0.1421135281,0.7153180004,1.093561,1210368,1862832,"[1, 12, 197, 64]","[1, 12, 197, 197]",['block0_attn_qkv_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block0_attn_softmax,Softmax,Block0,5.2879619,0.09130681643,5.148924,5.441720999,5.437778999,5.440932599,0.7536633999,0.008714886846,0.74391,0.7722910004,1862832,1862832,"[1, 12, 197, 197]","[1, 12, 197, 197]",['block0_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3725664,3725664,60,3725724,0,0,3725664,1,60
block0_attn_v_matmul,MatMul,Block0,16.3075103,0.243226709,15.884654,16.805067,16.7043984,16.78493328,0.5017901001,0.01114624288,0.4875900004,0.5159290004,2468016,605184,"[1, 12, 197, 197]","[1, 12, 197, 64]","['block0_attn_softmax', 'block0_attn_qkv_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block0_attn_out_proj,Linear,Block0,3.530998,0.06896061541,3.461374001,3.719945,3.64581785,3.70511957,1.6203479,0.0154959688,1.604592,1.655935,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block0_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block0_norm2,LayerNorm,Block0,0.3899677,0.01176398312,0.3677170007,0.4138029999,0.4071497505,0.41247235,0.08132440007,0.004353468589,0.07767800071,0.09177399988,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block0_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block0_ffn_fc1,Linear,Block0,30.9431501,0.7438649915,30.004375,32.526294,32.20434915,32.46190503,6.7694193,0.3466970466,6.257332,7.167178,605184,2420736,"[1, 197, 768]","[1, 197, 3072]",['block0_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12475392,12475392,60,12475452,9437184,12288,3025920,1,60
block0_ffn_gelu,GELU,Block0,14.9587234,0.1935907277,14.723222,15.431002,15.2899657,15.40279474,1.3657709,0.02450407418,1.313556,1.399476,2420736,2420736,"[1, 197, 3072]","[1, 197, 3072]",['block0_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,4841472,4841472,60,4841532,0,0,4841472,1,60
block0_ffn_fc2,Linear,Block0,14.3911437,0.5110216093,13.573989,15.003685,14.9788621,14.99872042,6.6727148,0.2475443899,6.458599,7.099536,2420736,605184,"[1, 197, 3072]","[1, 197, 768]",['block0_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12466176,12466176,60,12466236,9437184,3072,3025920,1,60
block1_norm1,LayerNorm,Block1,0.4203959999,0.0107450814,0.3933810003,0.4295540002,0.4293483497,0.4295128701,0.08250270012,0.007217674279,0.07799500054,0.09872800001,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block0_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
