9LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
input,SecretInputLayer,Stem-Part1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,1072812,1072812,"[1, 3, 299, 299]","[1, 3, 299, 299]",,10
stem_conv1,SGXConvBase,Stem-Part1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5306,0.2214,2.3739,3.1804,2841728,2841728,"[1, 32, 149, 149]","[1, 32, 149, 149]",,10
stem_relu1,SecretReLULayer,Stem-Part1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1094,0.0044,0.1060,0.1216,2841728,2841728,"[1, 32, 149, 149]","[1, 32, 149, 149]",,10
stem_conv2,SGXConvBase,Stem-Part1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2084,0.1063,3.0680,3.3580,2765952,2765952,"[1, 32, 147, 147]","[1, 32, 147, 147]",,10
stem_relu2,SecretReLULayer,Stem-Part1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1042,0.0052,0.1013,0.1193,2765952,2765952,"[1, 32, 147, 147]","[1, 32, 147, 147]",,10
stem_conv3,SGXConvBase,Stem-Part2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6088,0.5864,10.2444,11.9308,5531904,5531904,"[1, 64, 147, 147]","[1, 64, 147, 147]",,10
stem_relu3,SecretReLULayer,Stem-Part2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2031,0.0048,0.1972,0.2124,5531904,5531904,"[1, 64, 147, 147]","[1, 64, 147, 147]",,10
stem_pool1,SecretMaxpool2dLayer,Stem-Part2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6161,0.0229,8.5877,8.6558,1364224,1364224,"[1, 64, 73, 73]","[1, 64, 73, 73]",,10
stem_conv4,SGXConvBase,Stem-Part3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6894,0.0464,3.6494,3.8095,1705280,1705280,"[1, 80, 73, 73]","[1, 80, 73, 73]",,10
stem_relu4,SecretReLULayer,Stem-Part3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0619,0.0041,0.0596,0.0739,1705280,1705280,"[1, 80, 73, 73]","[1, 80, 73, 73]",,10
stem_conv5,SGXConvBase,Stem-Part3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4268,0.0694,11.3514,11.5547,3871488,3871488,"[1, 192, 71, 71]","[1, 192, 71, 71]",,10
stem_relu5,SecretReLULayer,Stem-Part3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1449,0.0057,0.1400,0.1564,3871488,3871488,"[1, 192, 71, 71]","[1, 192, 71, 71]",,10
stem_pool2,SecretMaxpool2dLayer,Stem-Part4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9674,0.0356,5.9299,6.0460,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",,10
inception_a1_b1_1x1,SGXConvBase,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6204,0.0126,0.6024,0.6387,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a1_b1_relu,SecretReLULayer,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0007,0.0098,0.0120,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a1_b2_1x1,SGXConvBase,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6123,0.0092,0.5990,0.6299,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a1_b2_relu1,SecretReLULayer,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0105,0.0014,0.0100,0.0146,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a1_b2_3x3,SGXConvBase,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2626,0.0095,1.2506,1.2750,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",,10
inception_a1_b2_relu2,SecretReLULayer,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0122,0.0002,0.0120,0.0127,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",,10
inception_a1_b3_1x1,SGXConvBase,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3887,0.0103,0.3773,0.4048,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",,10
inception_a1_b3_relu1,SecretReLULayer,Inception-A1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0190,0.0002,0.0188,0.0193,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",,10
