LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
input,SecretInputLayer,Stem-Part1,0.0013,0.0002,0.001,0.0016,0.0016,0.0016,0,0,0,0,0,1072812,[],"[1, 3, 299, 299]",,10
stem_conv1,SGXConvBase,Stem-Part1,42.8556,0.5907,42.4521,44.5853,43.818,44.4319,0,0,0,0,1072812,2841728,"[1, 3, 299, 299]","[1, 32, 149, 149]",input,10
stem_relu1,SecretReLULayer,Stem-Part1,1.6777,0.038,1.6113,1.7293,1.7283,1.7291,0,0,0,0,2841728,2841728,"[1, 32, 149, 149]","[1, 32, 149, 149]",stem_conv1,10
stem_conv2,SGXConvBase,Stem-Part1,56.3204,2.4006,54.4951,61.7265,61.0881,61.5988,0,0,0,0,2841728,2765952,"[1, 32, 149, 149]","[1, 32, 147, 147]",stem_relu1,10
stem_relu2,SecretReLULayer,Stem-Part1,1.9733,0.9462,1.6155,4.8101,3.4298,4.534,0,0,0,0,2765952,2765952,"[1, 32, 147, 147]","[1, 32, 147, 147]",stem_conv2,10
stem_conv3,SGXConvBase,Stem-Part2,113.7894,1.9043,112.3389,118.7054,117.3161,118.4276,0,0,0,0,2765952,5531904,"[1, 32, 147, 147]","[1, 64, 147, 147]",stem_relu2,10
stem_relu3,SecretReLULayer,Stem-Part2,3.3266,0.0888,3.2017,3.5191,3.4653,3.5084,0,0,0,0,5531904,5531904,"[1, 64, 147, 147]","[1, 64, 147, 147]",stem_conv3,10
stem_pool1,SecretMaxpool2dLayer,Stem-Part2,8.9677,0.1089,8.8273,9.1353,9.128,9.1338,0,0,0,0,5531904,1364224,"[1, 64, 147, 147]","[1, 64, 73, 73]",stem_relu3,10
stem_conv4,SGXConvBase,Stem-Part3,26.795,0.327,26.3931,27.6191,27.3315,27.5616,0,0,0,0,1364224,1705280,"[1, 64, 73, 73]","[1, 80, 73, 73]",stem_pool1,10
stem_relu4,SecretReLULayer,Stem-Part3,1.0729,0.0217,1.0386,1.1102,1.102,1.1086,0,0,0,0,1705280,1705280,"[1, 80, 73, 73]","[1, 80, 73, 73]",stem_conv4,10
stem_conv5,SGXConvBase,Stem-Part3,112.2655,1.8982,110.4393,116.2731,115.9187,116.2022,0,0,0,0,1705280,3871488,"[1, 80, 73, 73]","[1, 192, 71, 71]",stem_relu4,10
stem_relu5,SecretReLULayer,Stem-Part3,2.3453,0.1912,2.2373,2.8996,2.6829,2.8562,0,0,0,0,3871488,3871488,"[1, 192, 71, 71]","[1, 192, 71, 71]",stem_conv5,10
stem_pool2,SecretMaxpool2dLayer,Stem-Part4,0.1226,0.0128,0.0985,0.1374,0.1369,0.1373,0,0,0,0,3871488,940800,"[1, 192, 71, 71]","[1, 192, 35, 35]",stem_relu5,10
inception_a1_b1_1x1,SGXConvBase,Inception-A1,13.7583,0.4116,13.5347,14.962,14.4516,14.8599,0,0,0,0,940800,313600,"[1, 192, 35, 35]","[1, 64, 35, 35]",stem_pool2,10
inception_a1_b1_relu,SecretReLULayer,Inception-A1,0.3161,0.0206,0.2909,0.3702,0.35,0.3662,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b1_1x1,10
inception_a1_b2_1x1,SGXConvBase,Inception-A1,14.0064,1.2819,13.2643,17.5529,16.4208,17.3265,0,0,0,0,940800,313600,"[1, 192, 35, 35]","[1, 64, 35, 35]",stem_pool2,10
inception_a1_b2_relu1,SecretReLULayer,Inception-A1,0.3081,0.0394,0.2742,0.4087,0.3808,0.4031,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b2_1x1,10
inception_a1_b2_3x3,SGXConvBase,Inception-A1,17.2299,1.484,16.5132,21.6526,19.6131,21.2447,0,0,0,0,313600,470400,"[1, 64, 35, 35]","[1, 96, 35, 35]",inception_a1_b2_relu1,10
inception_a1_b2_relu2,SecretReLULayer,Inception-A1,0.3952,0.0296,0.3613,0.475,0.4436,0.4687,0,0,0,0,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",inception_a1_b2_3x3,10
inception_a1_b3_1x1,SGXConvBase,Inception-A1,5.2596,0.9059,4.9033,7.9762,6.6373,7.7084,0,0,0,0,940800,235200,"[1, 192, 35, 35]","[1, 48, 35, 35]",stem_pool2,10
inception_a1_b3_relu1,SecretReLULayer,Inception-A1,0.2717,0.0179,0.2406,0.305,0.2986,0.3037,0,0,0,0,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",inception_a1_b3_1x1,10
inception_a1_b3_3x3_1,SGXConvBase,Inception-A1,2.8397,0.5309,2.5764,4.4101,3.7319,4.2744,0,0,0,0,235200,313600,"[1, 48, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_relu1,10
inception_a1_b3_relu2,SecretReLULayer,Inception-A1,0.3039,0.0329,0.2581,0.379,0.3556,0.3743,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_3x3_1,10
inception_a1_b3_3x3_2,SGXConvBase,Inception-A1,10.0627,0.6668,9.6084,11.6218,11.3907,11.5755,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_relu2,10
inception_a1_b3_relu3,SecretReLULayer,Inception-A1,0.3114,0.0221,0.2765,0.3446,0.3443,0.3445,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_3x3_2,10
inception_a1_b4_pool,SecretMaxpool2dLayer,Inception-A1,0.1108,0.006,0.0987,0.1223,0.1196,0.1218,0,0,0,0,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",stem_pool2,10
inception_a1_b4_1x1,SGXConvBase,Inception-A1,4.6632,0.4562,4.3373,5.6,5.567,5.5934,0,0,0,0,940800,156800,"[1, 192, 35, 35]","[1, 32, 35, 35]",inception_a1_b4_pool,10
inception_a1_b4_relu,SecretReLULayer,Inception-A1,0.2107,0.0326,0.1708,0.2925,0.2689,0.2878,0,0,0,0,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",inception_a1_b4_1x1,10
inception_a1_concat,SecretConcatenateLayer,Inception-A1,0.2355,0.0149,0.2119,0.2601,0.2582,0.2597,0,0,0,0,0,1254400,[],"[1, 256, 35, 35]",inception_a1_b1_relu;inception_a1_b2_relu2;inception_a1_b3_relu3;inception_a1_b4_relu,10
inception_a2_b1_1x1,SGXConvBase,Inception-A2,14.3856,0.1204,14.1771,14.5493,14.536,14.5466,0,0,0,0,1254400,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a1_concat,10
inception_a2_b1_relu,SecretReLULayer,Inception-A2,0.2902,0.0214,0.2682,0.3406,0.3244,0.3374,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b1_1x1,10
inception_a2_b2_1x1,SGXConvBase,Inception-A2,15.3078,0.1813,15.0819,15.637,15.6288,15.6353,0,0,0,0,1254400,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a1_concat,10
inception_a2_b2_relu1,SecretReLULayer,Inception-A2,0.3013,0.023,0.2713,0.3383,0.3356,0.3377,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b2_1x1,10
inception_a2_b2_3x3,SGXConvBase,Inception-A2,16.6077,0.1353,16.4388,16.9192,16.8297,16.9013,0,0,0,0,313600,470400,"[1, 64, 35, 35]","[1, 96, 35, 35]",inception_a2_b2_relu1,10
inception_a2_b2_relu2,SecretReLULayer,Inception-A2,0.3882,0.0209,0.366,0.4391,0.4239,0.436,0,0,0,0,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",inception_a2_b2_3x3,10
inception_a2_b3_1x1,SGXConvBase,Inception-A2,12.2447,0.2787,11.9989,12.872,12.777,12.853,0,0,0,0,1254400,235200,"[1, 256, 35, 35]","[1, 48, 35, 35]",inception_a1_concat,10
inception_a2_b3_relu1,SecretReLULayer,Inception-A2,0.2504,0.0209,0.2237,0.2904,0.2887,0.29,0,0,0,0,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",inception_a2_b3_1x1,10
inception_a2_b3_3x3_1,SGXConvBase,Inception-A2,7.5697,0.0422,7.5128,7.6517,7.6376,7.6489,0,0,0,0,235200,313600,"[1, 48, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_relu1,10
inception_a2_b3_relu2,SecretReLULayer,Inception-A2,0.2952,0.0201,0.2625,0.3261,0.3196,0.3248,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_3x3_1,10
inception_a2_b3_3x3_2,SGXConvBase,Inception-A2,9.6837,0.0769,9.5292,9.8248,9.7901,9.8179,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_relu2,10
