Model,Servers,Bandwidth_Mbps,DINA_Latency,MEDIA_Latency,Ours_Latency,OCC_Latency
ALBERT,1,100,876.49614400108,876.49614400108,876.49614400108,1303.681498233868
ALBERT,2,100,1086.49614400108,1086.49614400108,876.49614400108,1303.681498233868
ALBERT,4,100,1086.49614400108,1086.49614400108,876.49614400108,1303.681498233868
ALBERT,8,100,1086.49614400108,1086.49614400108,876.49614400108,1303.681498233868
ALBERT,12,100,1086.49614400108,1086.49614400108,876.49614400108,1303.681498233868
ALBERT,16,100,1086.49614400108,1086.49614400108,876.49614400108,1303.681498233868
BERT-base,1,100,666.24475270176,801.4188020058743,666.2447527017598,1082.1565301980977
BERT-base,2,100,1116.2447527017598,1161.4188020058743,666.2447527017598,1082.1565301980977
BERT-base,4,100,1116.2447527017598,1161.4188020058743,666.2447527017598,1082.1565301980977
BERT-base,8,100,1116.2447527017598,1161.4188020058743,666.2447527017598,1082.1565301980977
BERT-base,12,100,1116.2447527017598,1161.4188020058743,666.2447527017598,1082.1565301980977
BERT-base,16,100,1116.2447527017598,1161.4188020058743,666.2447527017598,1082.1565301980977
DistillBERT,1,100,433.54587349931,521.5413957583706,433.5458734993099,608.6548136238217
DistillBERT,2,100,613.54587349931,641.5413957583706,433.5458734993099,608.6548136238217
DistillBERT,4,100,613.54587349931,641.5413957583706,433.5458734993099,608.6548136238217
DistillBERT,8,100,613.54587349931,641.5413957583706,433.5458734993099,608.6548136238217
DistillBERT,12,100,613.54587349931,641.5413957583706,433.5458734993099,608.6548136238217
DistillBERT,16,100,613.54587349931,641.5413957583706,433.5458734993099,608.6548136238217
InceptionV3,1,100,1505.7882,1505.7882,1505.7882,1689.5825229675295
InceptionV3,2,100,1711.0958171875002,1711.0958171875002,1367.6712187500004,1689.5825229675295
InceptionV3,4,100,1711.0958171875002,1711.0958171875002,1362.4088187500004,1689.5825229675295
InceptionV3,8,100,1711.0958171875002,1711.0958171875002,1362.4088187500004,1689.5825229675295
InceptionV3,12,100,1711.0958171875002,1711.0958171875002,1362.4088187500004,1689.5825229675295
InceptionV3,16,100,1711.0958171875002,1711.0958171875002,1362.4088187500004,1689.5825229675295
TinyBERT-4l,1,100,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,2,100,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,4,100,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,8,100,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,12,100,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,16,100,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-6l,1,100,440.90907479891996,440.90907479891996,440.9090747989201,616.0150566257022
TinyBERT-6l,2,100,620.90907479892,620.90907479892,440.9090747989201,616.0150566257022
TinyBERT-6l,4,100,620.90907479892,620.90907479892,440.9090747989201,616.0150566257022
TinyBERT-6l,8,100,620.90907479892,620.90907479892,440.9090747989201,616.0150566257022
TinyBERT-6l,12,100,620.90907479892,620.90907479892,440.9090747989201,616.0150566257022
TinyBERT-6l,16,100,620.90907479892,620.90907479892,440.9090747989201,616.0150566257022
ViT-base,1,100,1618.0426463003,1785.7183026915482,1618.0426463003002,2199.5025004262766
ViT-base,2,100,8587.344404112799,8431.582560504046,823.4196315981001,2199.5025004262766
ViT-base,4,100,8587.344404112799,8431.582560504046,425.56241409919994,2199.5025004262766
ViT-base,8,100,8587.344404112799,8431.582560504046,264.6286902,2199.5025004262766
ViT-base,12,100,8587.344404112799,8431.582560504046,159.6406684,2199.5025004262766
ViT-base,16,100,8587.344404112799,8431.582560504046,133.6065068,2199.5025004262766
