Model,Bandwidth_Mbps,DINA,MEDIA,Ours,OCC
ALBERT,1,876.5,2448.36,227.2,1306.32
ALBERT,10,876.5,1115.29,227.2,1306.32
ALBERT,50,876.5,876.5,223.36,1306.32
ALBERT,100,876.5,876.5,219.54,1306.32
ALBERT,500,876.5,876.5,219.49,1306.32
ALBERT,1000,876.5,876.5,219.49,1306.32
BERT-base,1,666.24,2458.71,666.24,1082.16
BERT-base,10,666.24,999.86,630.53,1082.16
BERT-base,50,666.24,666.24,610.13,1082.16
BERT-base,100,666.24,666.24,605.09,1082.16
BERT-base,500,666.24,666.24,605.09,1082.16
BERT-base,1000,666.24,666.24,605.09,1082.16
DistillBERT,1,433.55,2067.38,119.72,603.95
DistillBERT,10,433.55,662.48,119.72,603.95
DistillBERT,50,433.55,433.55,117.22,603.95
DistillBERT,100,433.55,433.55,112.19,603.95
DistillBERT,500,433.55,433.55,112.19,603.95
DistillBERT,1000,433.55,433.55,110.11,603.95
InceptionV3,1,1505.79,2120.57,1505.79,1689.58
InceptionV3,10,1505.79,1505.79,1505.79,1689.58
InceptionV3,50,1505.79,1505.79,1421.69,1689.58
InceptionV3,100,1505.79,1505.79,1362.41,1689.58
InceptionV3,500,1505.79,1505.79,1018.52,1689.58
InceptionV3,1000,1505.79,1505.79,956.31,1689.58
TinyBERT-4l,1,104.71,104.71,26.64,104.71
TinyBERT-4l,10,104.71,104.71,26.64,104.71
TinyBERT-4l,50,104.71,104.71,26.64,104.71
TinyBERT-4l,100,104.71,104.71,26.64,104.71
TinyBERT-4l,500,104.71,104.71,26.46,104.71
TinyBERT-4l,1000,104.71,104.71,26.46,104.71
TinyBERT-6l,1,440.91,2093.22,121.92,611.31
TinyBERT-6l,10,440.91,674.15,121.92,611.31
TinyBERT-6l,50,440.91,440.91,119.4,611.31
TinyBERT-6l,100,440.91,440.91,114.24,611.31
TinyBERT-6l,500,440.91,440.91,114.24,611.31
TinyBERT-6l,1000,440.91,440.91,112.08,611.31
ViT-base,1,1618.04,6129.82,425.16,2199.03
ViT-base,10,1618.04,1955.96,425.16,2199.03
ViT-base,50,1618.04,1618.04,425.16,2199.03
ViT-base,100,1618.04,1618.04,425.16,2199.03
ViT-base,500,1618.04,1618.04,425.16,2199.03
ViT-base,1000,1618.04,1618.04,425.16,2199.03
