name,type,group,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
embedding,Linear,Embedding,2.7117057,0.1375636541,2.541071,2.967412,2.94168055,2.96226571,1.103904667,0.04335716319,1.08414,1.334515,393216,393216,"[1, 128, 768]","[1, 128, 768]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_q_proj,Linear,Encoder0,2.5385832,0.0370163155,2.484939001,2.594699999,2.58927255,2.59361451,1.098847867,0.01146455747,1.087771001,1.147498,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_k_proj,Linear,Encoder0,2.6479479,0.0977138266,2.509726,2.836718999,2.78593335,2.826561869,1.105034767,0.0194949521,1.085593,1.186806001,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_q_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_v_proj,Linear,Encoder0,2.6278783,0.1929954128,2.473244,3.095121001,2.988507451,3.073798291,1.100673266,0.01081994601,1.085130001,1.140458,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_k_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_qk_matmul,MatMul,Encoder0,9.3628298,0.1578517243,9.161046,9.610990999,9.591085699,9.607009939,0.2945694669,0.06535115779,0.2615129997,0.5165399998,786432,786432,"[1, 12, 128, 64]","[1, 12, 128, 128]",['encoder0_attn_v_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder0_attn_softmax,Softmax,Encoder0,2.2820607,0.05366314457,2.222368999,2.374045001,2.3645536,2.372146721,0.3178513668,0.01368915814,0.2966100001,0.3733310004,786432,786432,"[1, 12, 128, 128]","[1, 12, 128, 128]",['encoder0_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1572864,1572864,60,1572924,0,0,1572864,1,60
encoder0_attn_v_matmul,MatMul,Encoder0,7.5960124,0.1126413339,7.472786001,7.897302999,7.785279099,7.874898219,0.2268018668,0.01010800116,0.2169669988,0.2714799994,1179648,393216,"[1, 12, 128, 128]","[1, 12, 128, 64]",['encoder0_attn_softmax'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,1179648,1179648,60,1179708,0,0,1179648,1,60
encoder0_attn_out_proj,Linear,Encoder0,2.6180617,0.1083435233,2.513152,2.803801999,2.796593,2.802360199,1.098693967,0.01007495492,1.085653001,1.126277,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_norm1,LayerNorm,Encoder0,0.3207146001,0.01990907988,0.298197001,0.3517009991,0.3515880497,0.3516784092,0.0545077668,0.0136914078,0.04793799962,0.09613900147,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder0_ffn_fc1,Linear,Encoder0,22.8333849,0.5694922406,22.049656,23.903569,23.80736665,23.88432853,4.443598067,0.1719884573,4.222481,4.903395,393216,1572864,"[1, 128, 768]","[1, 128, 3072]",['encoder0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11415552,11415552,60,11415612,9437184,12288,1966080,1,60
encoder0_ffn_gelu,GELU,Encoder0,9.7478869,0.04975467346,9.66974,9.831625001,9.820807,9.8294614,0.8635755666,0.06401836511,0.7700019996,0.9733639999,1572864,1572864,"[1, 128, 3072]","[1, 128, 3072]",['encoder0_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3145728,3145728,60,3145788,0,0,3145728,1,60
encoder0_ffn_fc2,Linear,Encoder0,9.9055071,0.3510278635,9.330892,10.582646,10.49645795,10.56540839,4.523773666,0.07260802,4.433279,4.675335998,1572864,393216,"[1, 128, 3072]","[1, 128, 768]",['encoder0_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,11406336,11406336,60,11406396,9437184,3072,1966080,1,60
encoder0_norm2,LayerNorm,Encoder0,0.3047775999,0.01395818199,0.2897750001,0.3251170001,0.3241931498,0.3249322301,0.0502814999,0.004076356303,0.04730199907,0.06503700024,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,792576,792576,60,792636,3072,3072,786432,1,60
encoder1_attn_q_proj,Linear,Encoder1,2.5968561,0.06646921833,2.471244999,2.715393999,2.682186249,2.708752449,1.099306833,0.01078975369,1.08602,1.131526,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder0_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder1_attn_k_proj,Linear,Encoder1,2.5562284,0.04196615822,2.497539001,2.640425,2.6242979,2.63719958,1.123669433,0.03195298875,1.090001999,1.23403,393216,393216,"[1, 128, 768]","[1, 128, 768]",['encoder1_attn_q_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
