LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations,CPU_Memory_Bytes,TEE_Memory_Bytes,TEE_Encryption_Overhead,TEE_Total_Memory_Bytes,Weight_Bytes,Bias_Bytes,Activation_Bytes,Num_Chunks,Chunk_Metadata_Bytes
input,SecretInputLayer,Stem-Part1,0.0013,0.0002,0.001,0.0016,0.0016,0.0016,0.01,0,0.01,0.01,1072812,1072812,[],"[1, 3, 299, 299]",,10,1072812,1072812,60,1072872,0,0,1072812,1,60
stem_conv1,SGXConvBase,Stem-Part1,42.8556,0.5907,42.4521,44.5853,43.818,44.4319,2.5306,0.2214,2.3739,3.1804,2841728,2841728,"[1, 3, 299, 299]","[1, 32, 149, 149]",input,10,3918124,3918124,60,3918184,3456,128,3914540,1,60
stem_relu1,SecretReLULayer,Stem-Part1,1.6777,0.038,1.6113,1.7293,1.7283,1.7291,0.1094,0.0044,0.106,0.1216,2841728,2841728,"[1, 32, 149, 149]","[1, 32, 149, 149]",stem_conv1,10,5683456,5683456,60,5683516,0,0,5683456,1,60
stem_conv2,SGXConvBase,Stem-Part1,56.3204,2.4006,54.4951,61.7265,61.0881,61.5988,3.2084,0.1063,3.068,3.358,2765952,2765952,"[1, 32, 149, 149]","[1, 32, 147, 147]",stem_relu1,10,5644672,5644672,60,5644732,36864,128,5607680,1,60
stem_relu2,SecretReLULayer,Stem-Part1,1.9733,0.9462,1.6155,4.8101,3.4298,4.534,0.1042,0.0052,0.1013,0.1193,2765952,2765952,"[1, 32, 147, 147]","[1, 32, 147, 147]",stem_conv2,10,5531904,5531904,60,5531964,0,0,5531904,1,60
stem_conv3,SGXConvBase,Stem-Part2,113.7894,1.9043,112.3389,118.7054,117.3161,118.4276,10.6088,0.5864,10.2444,11.9308,5531904,5531904,"[1, 32, 147, 147]","[1, 64, 147, 147]",stem_relu2,10,8371840,8371840,120,8371960,73728,256,8297856,2,60
stem_relu3,SecretReLULayer,Stem-Part2,3.3266,0.0888,3.2017,3.5191,3.4653,3.5084,0.2031,0.0048,0.1972,0.2124,5531904,5531904,"[1, 64, 147, 147]","[1, 64, 147, 147]",stem_conv3,10,11063808,11063808,120,11063928,0,0,11063808,2,60
stem_pool1,SecretMaxpool2dLayer,Stem-Part2,8.9677,0.1089,8.8273,9.1353,9.128,9.1338,8.6161,0.0229,8.5877,8.6558,1364224,1364224,"[1, 64, 147, 147]","[1, 64, 73, 73]",stem_relu3,10,6896128,6896128,120,6896248,0,0,6896128,2,60
stem_conv4,SGXConvBase,Stem-Part3,26.795,0.327,26.3931,27.6191,27.3315,27.5616,3.6894,0.0464,3.6494,3.8095,1705280,1705280,"[1, 64, 73, 73]","[1, 80, 73, 73]",stem_pool1,10,3090304,3090304,720,3091024,20480,320,3069504,12,60
stem_relu4,SecretReLULayer,Stem-Part3,1.0729,0.0217,1.0386,1.1102,1.102,1.1086,0.0619,0.0041,0.0596,0.0739,1705280,1705280,"[1, 80, 73, 73]","[1, 80, 73, 73]",stem_conv4,10,3410560,3410560,780,3411340,0,0,3410560,13,60
stem_conv5,SGXConvBase,Stem-Part3,112.2655,1.8982,110.4393,116.2731,115.9187,116.2022,11.4268,0.0694,11.3514,11.5547,3871488,3871488,"[1, 80, 73, 73]","[1, 192, 71, 71]",stem_relu4,10,6130496,6130496,1320,6131816,552960,768,5576768,22,60
stem_relu5,SecretReLULayer,Stem-Part3,2.3453,0.1912,2.2373,2.8996,2.6829,2.8562,0.1449,0.0057,0.14,0.1564,3871488,3871488,"[1, 192, 71, 71]","[1, 192, 71, 71]",stem_conv5,10,7742976,7742976,1680,7744656,0,0,7742976,28,60
stem_pool2,SecretMaxpool2dLayer,Stem-Part4,0.1226,0.0128,0.0985,0.1374,0.1369,0.1373,5.9674,0.0356,5.9299,6.046,940800,940800,"[1, 192, 71, 71]","[1, 192, 35, 35]",stem_relu5,10,4812288,4812288,240,4812528,0,0,4812288,4,60
