name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
embedding_projection,Linear,Embedding,Enclave,0.9520045003228006,0.057473700344620494,0.8879469987732591,1.106928999433876,1.0531711002840891,1.0961774196039187,0.0,0.0,0.0,0.0,65536,524288,"[1, 128, 128]","[1, 128, 1024]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,1118208,1118208,60,1118268,524288,4096,589824,1,60
encoder0_attn_q_proj,Linear,Encoder0,Enclave,4.5267017994774505,0.05301312695169011,4.419482000230346,4.622590999133536,4.6008550993974495,4.618243819186318,0.0,0.0,0.0,0.0,524288,524288,"[1, 128, 1024]","[1, 128, 1024]",['embedding_projection'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5246976,5246976,60,5247036,4194304,4096,1048576,1,60
encoder0_attn_k_proj,Linear,Encoder0,Enclave,4.538061299899709,0.13604103666093723,4.370320000816719,4.805589998795767,4.78751529881265,4.801975058799144,0.0,0.0,0.0,0.0,524288,524288,"[1, 128, 1024]","[1, 128, 1024]",['embedding_projection'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5246976,5246976,60,5247036,4194304,4096,1048576,1,60
encoder0_attn_v_proj,Linear,Encoder0,Enclave,4.439333500340581,0.12360543802035352,4.274916000213125,4.637084999558283,4.621503300222685,4.633968659691163,0.0,0.0,0.0,0.0,524288,524288,"[1, 128, 1024]","[1, 128, 1024]",['embedding_projection'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5246976,5246976,60,5247036,4194304,4096,1048576,1,60
encoder0_attn_head0_qk_matmul,MatMul,Encoder0_Head0,Enclave,0.41827660043054493,0.022704417226118122,0.39617600123165175,0.463012998807244,0.4608844996255357,0.46258729897090234,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head0_softmax,Softmax,Encoder0_Head0,Enclave,0.26811059997271514,0.027425632430155937,0.24160300017683767,0.3419009990466293,0.314638199233741,0.33644843908405164,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head0_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head0_attn_v_matmul,MatMul,Encoder0_Head0,Enclave,0.2564860003985814,0.01852490790386713,0.23809900085325353,0.305761001072824,0.28743745106112323,0.30209629107048386,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head0_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head1_qk_matmul,MatMul,Encoder0_Head1,Enclave,0.4225994000080391,0.025406747328891522,0.3995869992650114,0.4921769996144576,0.4664698499254882,0.4870355696766637,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head1_softmax,Softmax,Encoder0_Head1,Enclave,0.27838500009238487,0.02013152305641334,0.25192199973389506,0.32576599915046245,0.31478959981541266,0.3235707192834525,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head1_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head1_attn_v_matmul,MatMul,Encoder0_Head1,Enclave,0.2754160999757005,0.06559357893692748,0.23384099949907977,0.4685910007538041,0.3795981001530888,0.4507924206336611,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head1_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head2_qk_matmul,MatMul,Encoder0_Head2,Enclave,0.42325990052631823,0.025093744925130033,0.40585299939266406,0.49619400124356616,0.46560480059270043,0.490076161113393,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head2_softmax,Softmax,Encoder0_Head2,Enclave,0.2545132996601751,0.01003981482300211,0.24105999909806997,0.27482299992698245,0.2709637998123071,0.2740511599040474,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head2_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head2_attn_v_matmul,MatMul,Encoder0_Head2,Enclave,0.24040000007516937,0.010163065029370803,0.23182100085250568,0.26013000024249777,0.258177900013834,0.259739580196765,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head2_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head3_qk_matmul,MatMul,Encoder0_Head3,Enclave,0.4257942999174702,0.025097362585167045,0.40301199987879954,0.4899380001006648,0.47176070038403844,0.48630254015733954,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
