name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
embedding,Linear,Embedding,Enclave,2.5832063001871575,0.1351181744966807,2.4752169993007556,2.966997999465093,2.8064343998266845,2.9348852795374114,0,0,0,0,393216,393216,"[1, 128, 768]","[1, 128, 768]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_q_proj,Linear,Encoder0,Enclave,2.5504026001726743,0.11265184153154419,2.4636479993205285,2.8721779999614228,2.7334457006872976,2.844431540106598,0,0,0,0,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_k_proj,Linear,Encoder0,Enclave,2.5569013001586427,0.17072812171039117,2.449363999403431,3.0585610002162866,2.8391270504471318,3.0146742102624557,0,0,0,0,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_v_proj,Linear,Encoder0,Enclave,2.4701089003428933,0.010960929094322594,2.459906001604395,2.49793999864778,2.4899704998460948,2.496346098887443,0,0,0,0,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_head0_qk_matmul,MatMul,Encoder0_Head0,Enclave,0.41912900014722254,0.023984914319241827,0.3967620014009299,0.4877619994658744,0.4593975998432142,0.48208911954134237,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head0_softmax,Softmax,Encoder0_Head0,Enclave,0.2678659999219235,0.00841974360807242,0.24957499954325613,0.27834000138682313,0.2782324502732081,0.2783184911641001,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head0_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head0_attn_v_matmul,MatMul,Encoder0_Head0,Enclave,0.5101545999423251,0.277380453551522,0.2310859999852255,0.7945950001158053,0.7938286494209024,0.7944417299768247,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head0_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head1_qk_matmul,MatMul,Encoder0_Head1,Enclave,0.4640721997930086,0.10474999655141949,0.39158300023700576,0.6890660006320104,0.6720510498780641,0.6856630104812211,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head1_softmax,Softmax,Encoder0_Head1,Enclave,0.2889634000894148,0.04218824807536713,0.24400599977525417,0.37269899985403754,0.35746155035667465,0.36965150995456497,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head1_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head1_attn_v_matmul,MatMul,Encoder0_Head1,Enclave,0.2556260998971993,0.015753215169746707,0.23563499962619971,0.2972820002469234,0.28224030011188,0.29427366021991475,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head1_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head2_qk_matmul,MatMul,Encoder0_Head2,Enclave,0.41893790003086906,0.03378678829106859,0.3920559993275674,0.5114870000397786,0.47718080022605125,0.5046257600770332,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head2_softmax,Softmax,Encoder0_Head2,Enclave,0.2669387999048922,0.013465776889017752,0.24991799909912515,0.28979200033063535,0.28855945047325804,0.2895454903591599,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head2_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head2_attn_v_matmul,MatMul,Encoder0_Head2,Enclave,0.2462886001012521,0.008384642309262148,0.2328829996258719,0.25658000049588736,0.2562852505434421,0.2565210505053983,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head2_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head3_qk_matmul,MatMul,Encoder0_Head3,Enclave,0.4535648004093673,0.06355151507444484,0.4075380002177553,0.6147219992271857,0.5746193499362561,0.6067014693689998,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head3_softmax,Softmax,Encoder0_Head3,Enclave,0.27216229973419104,0.015715490657176843,0.2536510000936687,0.30442699971899856,0.29768870017505833,0.3030793398102105,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head3_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head3_attn_v_matmul,MatMul,Encoder0_Head3,Enclave,0.29418780031846836,0.06809464326540032,0.2369739995629061,0.4366129996924428,0.42441754994797515,0.4341739097435493,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head3_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head4_qk_matmul,MatMul,Encoder0_Head4,Enclave,0.44024249982612673,0.07118762618597413,0.39847199877840467,0.6489009992947103,0.5629676496937461,0.6317143293745175,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head4_softmax,Softmax,Encoder0_Head4,Enclave,0.2722251996601699,0.010340975058525607,0.25892799931170885,0.2907409998442745,0.2904295998632733,0.29067871984807425,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head4_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head4_attn_v_matmul,MatMul,Encoder0_Head4,Enclave,0.24187160015571862,0.006838232641196869,0.23306999901251402,0.25378600003023166,0.25249855034417124,0.2535285100930196,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head4_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head5_qk_matmul,MatMul,Encoder0_Head5,Enclave,0.4084555999725126,0.013339648678525858,0.39402799848176073,0.43193099918426014,0.42957344976457534,0.4314594893003232,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head5_softmax,Softmax,Encoder0_Head5,Enclave,0.2668577000804362,0.019881832945058013,0.248072999966098,0.31683700035500806,0.30380050029634725,0.3142297003432759,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head5_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head5_attn_v_matmul,MatMul,Encoder0_Head5,Enclave,0.28797949980798876,0.058281014762258006,0.23639500068384223,0.4389059995446587,0.39208574926306017,0.429541949488339,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head5_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head6_qk_matmul,MatMul,Encoder0_Head6,Enclave,0.4144962998907431,0.01636254281368252,0.39284099875658285,0.44667899965133984,0.43957215011687367,0.4452576297444466,0,0,0,0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head6_softmax,Softmax,Encoder0_Head6,Enclave,0.2667425002073287,0.008171119383855468,0.24709900026209652,0.27603899980022106,0.275147100637696,0.27586061996771605,0,0,0,0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head6_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head6_attn_v_matmul,MatMul,Encoder0_Head6,Enclave,0.2544069997384213,0.031862706169135946,0.22781899861001875,0.3403059999982361,0.3115541501756524,0.33455563003371935,0,0,0,0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head6_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,131072,131072,60,131132,0,0,131072,1,60
