name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
embedding,Linear,Embedding,Enclave,4.491894899911131,0.1088627671245683,4.361155999504263,4.7646099992562085,4.676889249731175,4.747065849351202,0.0,0.0,0.0,0.0,524288,524288,"[1, 128, 1024]","[1, 128, 1024]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5246976,5246976,60,5247036,4194304,4096,1048576,1,60
encoder0_attn_q_proj,Linear,Encoder0,Enclave,4.454895199887687,0.13533676363140554,4.318453999076155,4.788082998857135,4.681406899453577,4.766747778976423,0.0,0.0,0.0,0.0,524288,524288,"[1, 128, 1024]","[1, 128, 1024]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5246976,5246976,60,5247036,4194304,4096,1048576,1,60
encoder0_attn_k_proj,Linear,Encoder0,Enclave,4.4866744998216745,0.15463674087694787,4.329374000008102,4.851494999456918,4.761934649741306,4.8335829295137955,0.0,0.0,0.0,0.0,524288,524288,"[1, 128, 1024]","[1, 128, 1024]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5246976,5246976,60,5247036,4194304,4096,1048576,1,60
encoder0_attn_v_proj,Linear,Encoder0,Enclave,4.5549618003860814,0.15267866136798697,4.308128000047873,4.905876001430443,4.783881450930494,4.881477091330453,0.0,0.0,0.0,0.0,524288,524288,"[1, 128, 1024]","[1, 128, 1024]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5246976,5246976,60,5247036,4194304,4096,1048576,1,60
encoder0_attn_head0_qk_matmul,MatMul,Encoder0_Head0,Enclave,0.44702490013150964,0.07557895690365615,0.39445800030080136,0.6636930011154618,0.574689750010293,0.6458923508944281,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head0_softmax,Softmax,Encoder0_Head0,Enclave,0.2764363000096637,0.022815763850483707,0.24275800024042837,0.31414200020662975,0.30991470030130586,0.31329654022556497,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head0_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head0_attn_v_matmul,MatMul,Encoder0_Head0,Enclave,0.5312986999342684,0.28486852436271753,0.2377720011281781,0.8318600011989474,0.8278919010081154,0.831066381160781,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head0_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head1_qk_matmul,MatMul,Encoder0_Head1,Enclave,0.4435711996848113,0.04539348537401408,0.4048989994771546,0.5373160001909127,0.5242970497420174,0.5347122101011337,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head1_softmax,Softmax,Encoder0_Head1,Enclave,0.26755729977594456,0.006081907040927509,0.257796000369126,0.2750590010691667,0.27453925022200565,0.2749550508997345,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head1_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head1_attn_v_matmul,MatMul,Encoder0_Head1,Enclave,0.2657264998561004,0.06657446882033638,0.2333489992452087,0.46378199840546586,0.3714037494319198,0.4453063486107567,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head1_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
