name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
R50_Conv1,Conv2d,Feature,Enclave,54.88848359982512,7.0736630433463255,48.76907900052174,65.07279399920662,64.42119139937859,64.94247347924102,0.0,0.0,0.0,0.0,602112,3211264,"[1, 3, 224, 224]","[1, 64, 112, 112]",[],5,3851264,3851264,60,3851324,37632,256,3813376,1,60
R50_MaxPool,MaxPool,Feature,CPU,6.088729400107695,0.023904728462985272,6.049132000043755,6.1203360000945395,6.117153800187225,6.119699560113077,0.0,0.0,0.0,0.0,3211264,802816,"[1, 64, 112, 112]","[1, 64, 56, 56]",['R50_Conv1'],5,4014080,4014080,60,4014140,0,0,4014080,1,60
R50_S1_Conv1x1_In,Conv2d,S1,Enclave,15.009477800049353,0.048167533508158056,14.928446000340045,15.064801999869815,15.061612799945578,15.064164159884967,0.0,0.0,0.0,0.0,802816,802816,"[1, 64, 56, 56]","[1, 64, 56, 56]",['R50_MaxPool'],5,1622272,1622272,60,1622332,16384,256,1605632,1,60
R50_S1_Conv3x3,Conv2d,S1,Enclave,38.27707559994451,0.511127277549465,37.63664800044353,39.03067399915017,38.96518839919736,39.017576879159606,0.0,0.0,0.0,0.0,802816,802816,"[1, 64, 56, 56]","[1, 64, 56, 56]",['R50_S1_Conv1x1_In'],5,1753344,1753344,60,1753404,147456,256,1605632,1,60
R50_S1_Conv1x1_Out,Conv2d,S1,Enclave,43.92299400005868,0.4446029166866216,43.39857300055883,44.527342000037606,44.46027399990271,44.51392840001063,0.0,0.0,0.0,0.0,802816,3211264,"[1, 64, 56, 56]","[1, 256, 56, 56]",['R50_S1_Conv3x3'],5,4080640,4080640,60,4080700,65536,1024,4014080,1,60
R50_S1_Add,Add,S1,Enclave,2.647645599790849,0.6857464450818385,2.020645999436965,3.9693620001344243,3.680060200167645,3.9115016401410685,0.0,0.0,0.0,0.0,3211264,3211264,"[1, 256, 56, 56]","[1, 256, 56, 56]","['R50_S1_Conv1x1_Out', 'R50_MaxPool']",5,6422528,6422528,60,6422588,0,0,6422528,1,60
R50_S2_Conv1x1_In,Conv2d,S2,Enclave,45.68698079983733,0.3184762534972391,45.11193300004379,45.99342199981038,45.98538059981365,45.991813719811034,0.0,0.0,0.0,0.0,3211264,1605632,"[1, 256, 56, 56]","[1, 128, 56, 56]",['R50_S1_Add'],5,4948480,4948480,60,4948540,131072,512,4816896,1,60
R50_S2_Conv3x3_S2,Conv2d,S2,Enclave,17.954870399807987,0.086032227601277,17.83964999958698,18.10247600042203,18.076083800224296,18.097197560382483,0.0,0.0,0.0,0.0,1605632,401408,"[1, 128, 56, 56]","[1, 128, 28, 28]",['R50_S2_Conv1x1_In'],5,2597376,2597376,60,2597436,589824,512,2007040,1,60
R50_S2_Conv1x1_Out,Conv2d,S2,Enclave,16.41217139986111,0.1927176972018637,16.28719899963471,16.796144000181812,16.704619800111686,16.777839160167787,0.0,0.0,0.0,0.0,401408,1605632,"[1, 128, 28, 28]","[1, 512, 28, 28]",['R50_S2_Conv3x3_S2'],5,2271232,2271232,60,2271292,262144,2048,2007040,1,60
R50_S2_DS_Conv1x1,Conv2d,S2,Enclave,49.599043800299114,0.44406901561494966,49.04841900042811,50.27510000036273,50.176458400346746,50.25537168035953,0.0,0.0,0.0,0.0,3211264,1605632,"[1, 256, 56, 56]","[1, 512, 28, 28]",['R50_S1_Add'],5,5343232,5343232,60,5343292,524288,2048,4816896,1,60
R50_S2_Add,Add,S2,Enclave,1.073996599916427,0.008552867178700713,1.0655679998308187,1.0876600008487003,1.0860652006158489,1.08734104080213,0.0,0.0,0.0,0.0,1605632,1605632,"[1, 512, 28, 28]","[1, 512, 28, 28]","['R50_S2_Conv1x1_Out', 'R50_S2_DS_Conv1x1']",5,3211264,3211264,60,3211324,0,0,3211264,1,60
R50_AvgPool,AvgPool,Feature,Enclave,0.22815100019215606,0.008737238842164444,0.21496500085049774,0.23826800043025287,0.23790340037521673,0.23819508041924564,0.0,0.0,0.0,0.0,401408,8192,"[1, 2048, 7, 7]","[1, 2048, 1, 1]",['R50_S2_Add'],5,409600,409600,60,409660,0,0,409600,1,60
R50_FC,Linear,Classifier,Enclave,2.0373467998069827,0.0850414327165978,1.9579820000217296,2.201520999733475,2.165137999691069,2.194244399724994,0.0,0.0,0.0,0.0,8192,4000,"[1, 2048]","[1, 1000]",['R50_AvgPool'],5,8208192,8208192,60,8208252,8192000,4000,12192,1,60
