name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
embedding,Linear,Embedding,Enclave,2.5637562001065817,0.03698938803005126,2.5113840001722565,2.619049000713858,2.61341050018018,2.6179213006071222,0.0,0.0,0.0,0.0,393216,393216,"[1, 128, 768]","[1, 128, 768]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_q_proj,Linear,Encoder0,Enclave,2.5711812999361428,0.11458223128302722,2.4897579987737117,2.8963910008314997,2.758594700662797,2.8688317407977593,0.0,0.0,0.0,0.0,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_k_proj,Linear,Encoder0,Enclave,2.5632259998019435,0.051535924262518844,2.4949629987531807,2.6537989997450495,2.6364226997429796,2.6503237397446355,0.0,0.0,0.0,0.0,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_v_proj,Linear,Encoder0,Enclave,2.5204142004440655,0.026377818126612194,2.491874000043026,2.5678160000097705,2.559506299894565,2.5661540599867294,0.0,0.0,0.0,0.0,393216,393216,"[1, 128, 768]","[1, 128, 768]",['embedding'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,3148800,3148800,60,3148860,2359296,3072,786432,1,60
encoder0_attn_head0_qk_matmul,MatMul,Encoder0_Head0,Enclave,0.454138100030832,0.060914671299141465,0.40642199928697664,0.5834889998368453,0.5630378502246458,0.5793987699144054,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head0_softmax,Softmax,Encoder0_Head0,Enclave,0.2776467003059224,0.028039560606472756,0.2445110003463924,0.3238730005250545,0.32196905040109414,0.32349221050026244,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head0_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head0_attn_v_matmul,MatMul,Encoder0_Head0,Enclave,0.2631467001265264,0.02230303634347115,0.24161699911928736,0.31604099967807997,0.3022790999239077,0.31328861972724553,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head0_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head1_qk_matmul,MatMul,Encoder0_Head1,Enclave,0.41441239991399925,0.021963696086915768,0.3917859994544415,0.46416099939960986,0.45361614938883577,0.46205202939745504,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder0_attn_q_proj', 'encoder0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder0_attn_head1_softmax,Softmax,Encoder0_Head1,Enclave,0.27371389987820294,0.018365110032035822,0.24613099958514795,0.30546800007869024,0.29918015006842325,0.30421043007663684,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder0_attn_head1_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder0_attn_head1_attn_v_matmul,MatMul,Encoder0_Head1,Enclave,0.25553250015946105,0.02536400908809381,0.22920900119061116,0.313046999508515,0.3007007991072896,0.31057775942826993,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder0_attn_head1_softmax', 'encoder0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
