name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
conv1_1,Conv2d,Block1,Enclave,170.0362743998994,5.929941894377562,165.4882999991969,181.7024219999439,179.1025415999684,181.1824459199488,0.0,0.0,0.0,0.0,602112,12845056,"[1, 3, 224, 224]","[1, 64, 224, 224]",[],5,13454336,13454336,60,13454396,6912,256,13447168,1,60
relu1_1,ReLU,Block1,Enclave,7.963808400381822,1.1006408982965532,7.047413000691449,9.51026999973692,9.426971999891975,9.493610399767931,0.0,0.0,0.0,0.0,12845056,12845056,"[1, 64, 224, 224]","[1, 64, 224, 224]",['conv1_1'],5,25690112,25690112,120,25690232,0,0,25690112,2,60
conv1_2,Conv2d,Block1,Enclave,543.7868826002159,5.867592836935108,536.5186540002469,554.400963000262,552.2471758002212,553.9702055602538,0.0,0.0,0.0,0.0,12845056,12845056,"[1, 64, 224, 224]","[1, 64, 224, 224]",['relu1_1'],5,25837824,25837824,120,25837944,147456,256,25690112,2,60
relu1_2,ReLU,Block1,Enclave,6.937010799811105,0.09213277244940823,6.857168000351521,7.1095389994297875,7.075945799624606,7.102820359468751,0.0,0.0,0.0,0.0,12845056,12845056,"[1, 64, 224, 224]","[1, 64, 224, 224]",['conv1_2'],5,25690112,25690112,120,25690232,0,0,25690112,2,60
pool1,MaxPool,Block1,CPU,16.238068399979966,0.03289028377728172,16.198838000491378,16.281264000099327,16.278658199917118,16.280742840062885,0.0,0.0,0.0,0.0,12845056,3211264,"[1, 64, 224, 224]","[1, 64, 112, 112]",['relu1_2'],5,16056320,16056320,60,16056380,0,0,16056320,1,60
conv2_1,Conv2d,Block2,Enclave,201.15451420024328,0.8713911646312983,199.85832699967432,202.1696300007534,202.14511020058126,202.16472604071896,0.0,0.0,0.0,0.0,3211264,6422528,"[1, 64, 112, 112]","[1, 128, 112, 112]",['pool1'],5,9929216,9929216,60,9929276,294912,512,9633792,1,60
relu2_1,ReLU,Block2,Enclave,3.3777385999201215,0.04869908069723158,3.3084990000133985,3.4513519995016395,3.441666599610471,3.449414919523406,0.0,0.0,0.0,0.0,6422528,6422528,"[1, 128, 112, 112]","[1, 128, 112, 112]",['conv2_1'],5,12845056,12845056,60,12845116,0,0,12845056,1,60
conv2_2,Conv2d,Block2,Enclave,223.70658079980785,3.328725541574753,220.72346200002357,229.5485609993193,228.69639919954352,229.37812863936415,0.0,0.0,0.0,0.0,6422528,6422528,"[1, 128, 112, 112]","[1, 128, 112, 112]",['relu2_1'],5,13435392,13435392,60,13435452,589824,512,12845056,1,60
relu2_2,ReLU,Block2,Enclave,3.372612999919511,0.022609990613588163,3.350332000081835,3.408186000342539,3.404361400316702,3.4074210803373717,0.0,0.0,0.0,0.0,6422528,6422528,"[1, 128, 112, 112]","[1, 128, 112, 112]",['conv2_2'],5,12845056,12845056,60,12845116,0,0,12845056,1,60
pool2,MaxPool,Block2,CPU,8.224668799994106,0.014002493599505589,8.207111000047007,8.249538000200118,8.244951000051515,8.248620600170398,0.0,0.0,0.0,0.0,6422528,1605632,"[1, 128, 112, 112]","[1, 128, 56, 56]",['relu2_2'],5,8028160,8028160,60,8028220,0,0,8028160,1,60
conv3_1,Conv2d,Block3,Enclave,92.68960760018672,4.558468878610377,89.64719400046306,101.76008200051001,99.62669780034048,101.3334051604761,0.0,0.0,0.0,0.0,1605632,3211264,"[1, 128, 56, 56]","[1, 256, 56, 56]",['pool2'],5,5997568,5997568,60,5997628,1179648,1024,4816896,1,60
relu3_1,ReLU,Block3,Enclave,1.7245807999643148,0.022220508363112693,1.6845720001583686,1.744206999319431,1.7434265993870213,1.744050919332949,0.0,0.0,0.0,0.0,3211264,3211264,"[1, 256, 56, 56]","[1, 256, 56, 56]",['conv3_1'],5,6422528,6422528,60,6422588,0,0,6422528,1,60
conv3_2,Conv2d,Block3,Enclave,142.22999939993315,1.5539391309099444,140.10566799970547,144.17366799989395,144.10837079994963,144.16060855990509,0.0,0.0,0.0,0.0,3211264,3211264,"[1, 256, 56, 56]","[1, 256, 56, 56]",['relu3_1'],5,8782848,8782848,60,8782908,2359296,1024,6422528,1,60
relu3_2,ReLU,Block3,Enclave,1.6985448000923498,0.01334081386115772,1.680966000094486,1.7199240000991267,1.7171268002130091,1.7193645601219032,0.0,0.0,0.0,0.0,3211264,3211264,"[1, 256, 56, 56]","[1, 256, 56, 56]",['conv3_2'],5,6422528,6422528,60,6422588,0,0,6422528,1,60
conv3_3,Conv2d,Block3,Enclave,147.00411400008306,7.774684451497919,140.2640230007819,157.42991899969638,157.0549789996221,157.35493099968153,0.0,0.0,0.0,0.0,3211264,3211264,"[1, 256, 56, 56]","[1, 256, 56, 56]",['relu3_2'],5,8782848,8782848,60,8782908,2359296,1024,6422528,1,60
relu3_3,ReLU,Block3,Enclave,1.8269198000780307,0.22418691836341811,1.6921209999054554,2.2745550004401593,2.1660076003172435,2.252845520415576,0.0,0.0,0.0,0.0,3211264,3211264,"[1, 256, 56, 56]","[1, 256, 56, 56]",['conv3_3'],5,6422528,6422528,60,6422588,0,0,6422528,1,60
pool3,MaxPool,Block3,CPU,4.191249599898583,0.10172698134498064,4.132044000471069,4.394122999656247,4.345937399739341,4.384485879672866,0.0,0.0,0.0,0.0,3211264,802816,"[1, 256, 56, 56]","[1, 256, 28, 28]",['relu3_3'],5,4014080,4014080,60,4014140,0,0,4014080,1,60
conv4_1,Conv2d,Block4,Enclave,78.68311520014686,0.6565449586834254,77.89522900020529,79.72081499974593,79.60207119976985,79.69706623975071,0.0,0.0,0.0,0.0,802816,1605632,"[1, 256, 28, 28]","[1, 512, 28, 28]",['pool3'],5,7129088,7129088,60,7129148,4718592,2048,2408448,1,60
relu4_1,ReLU,Block4,Enclave,0.9169887998723425,0.010991812518252826,0.9019869994517649,0.9348069997940911,0.9319453998614335,0.9342346798075596,0.0,0.0,0.0,0.0,1605632,1605632,"[1, 512, 28, 28]","[1, 512, 28, 28]",['conv4_1'],5,3211264,3211264,60,3211324,0,0,3211264,1,60
conv4_2,Conv2d,Block4,Enclave,130.29449500008923,0.6549863632662835,129.59651199980726,131.11105000007228,131.0958190000747,131.10800380007277,0.0,0.0,0.0,0.0,1605632,1605632,"[1, 512, 28, 28]","[1, 512, 28, 28]",['relu4_1'],5,12650496,12650496,60,12650556,9437184,2048,3211264,1,60
relu4_2,ReLU,Block4,Enclave,0.9755589999258518,0.14779254204116601,0.8893229996829177,1.2707699997918098,1.198887199825549,1.2563934397985577,0.0,0.0,0.0,0.0,1605632,1605632,"[1, 512, 28, 28]","[1, 512, 28, 28]",['conv4_2'],5,3211264,3211264,60,3211324,0,0,3211264,1,60
conv4_3,Conv2d,Block4,Enclave,130.1592179999716,0.890333608081628,129.35076499979914,131.31531799990626,131.28764220000448,131.3097828399259,0.0,0.0,0.0,0.0,1605632,1605632,"[1, 512, 28, 28]","[1, 512, 28, 28]",['relu4_2'],5,12650496,12650496,60,12650556,9437184,2048,3211264,1,60
relu4_3,ReLU,Block4,Enclave,0.8833445999698597,0.016620271947507294,0.8609670003352221,0.9044500002346467,0.9036906001711031,0.904298120221938,0.0,0.0,0.0,0.0,1605632,1605632,"[1, 512, 28, 28]","[1, 512, 28, 28]",['conv4_3'],5,3211264,3211264,60,3211324,0,0,3211264,1,60
pool4,MaxPool,Block4,CPU,2.171023400114791,0.017053273605375254,2.156208000087645,2.2037349999664,2.1971969999867724,2.2024273999704747,0.0,0.0,0.0,0.0,1605632,401408,"[1, 512, 28, 28]","[1, 512, 14, 14]",['relu4_3'],5,2007040,2007040,60,2007100,0,0,2007040,1,60
conv5_1,Conv2d,Block5,Enclave,73.13596780022635,4.562066528281894,70.33249600044655,82.2208640001918,80.10217520022707,81.79712624019885,0.0,0.0,0.0,0.0,401408,401408,"[1, 512, 14, 14]","[1, 512, 14, 14]",['pool4'],5,10242048,10242048,60,10242108,9437184,2048,802816,1,60
relu5_1,ReLU,Block5,Enclave,0.2848487998562632,0.017734400907444544,0.2657770000951132,0.3117139995083562,0.3091041995503474,0.31119203951675445,0.0,0.0,0.0,0.0,401408,401408,"[1, 512, 14, 14]","[1, 512, 14, 14]",['conv5_1'],5,802816,802816,60,802876,0,0,802816,1,60
conv5_2,Conv2d,Block5,Enclave,70.11457939988759,0.5145368412341114,69.5020539997131,71.03740599995945,70.86146639994695,71.00221807995695,0.0,0.0,0.0,0.0,401408,401408,"[1, 512, 14, 14]","[1, 512, 14, 14]",['relu5_1'],5,10242048,10242048,60,10242108,9437184,2048,802816,1,60
relu5_2,ReLU,Block5,Enclave,0.2945413998531876,0.019655977103778526,0.27003899958799593,0.31941799988999264,0.3183733999321703,0.31920907989842817,0.0,0.0,0.0,0.0,401408,401408,"[1, 512, 14, 14]","[1, 512, 14, 14]",['conv5_2'],5,802816,802816,60,802876,0,0,802816,1,60
conv5_3,Conv2d,Block5,Enclave,70.79745000010007,1.2536577711055668,69.59648200063384,72.96483699974488,72.65999099981855,72.90386779975961,0.0,0.0,0.0,0.0,401408,401408,"[1, 512, 14, 14]","[1, 512, 14, 14]",['relu5_2'],5,10242048,10242048,60,10242108,9437184,2048,802816,1,60
relu5_3,ReLU,Block5,Enclave,0.2812451999488985,0.009820672438076366,0.27156899977853755,0.29971200001455145,0.29598820001410786,0.29896724001446273,0.0,0.0,0.0,0.0,401408,401408,"[1, 512, 14, 14]","[1, 512, 14, 14]",['conv5_3'],5,802816,802816,60,802876,0,0,802816,1,60
pool5,MaxPool,Block5,CPU,0.5948166002781363,0.008083707163763103,0.5850890001966036,0.6068190004953067,0.6056808004359482,0.606591360483435,0.0,0.0,0.0,0.0,401408,100352,"[1, 512, 14, 14]","[1, 512, 7, 7]",['relu5_3'],5,501760,501760,60,501820,0,0,501760,1,60
fc1,Linear,Classifier,Enclave,104.54122139981337,0.8896406172608654,103.42639400005282,106.0704639994583,105.81665799963957,106.01970279949455,0.0,0.0,0.0,0.0,100352,16384,"[1, 25088]","[1, 4096]",['pool5'],5,411174912,411174912,1500,411176412,411041792,16384,116736,25,60
relu_fc1,ReLU,Classifier,Enclave,0.06182219985930715,0.00903370946577649,0.05486600002768682,0.07948199981910875,0.07564179977634922,0.07871395981055684,0.0,0.0,0.0,0.0,16384,16384,"[1, 4096]","[1, 4096]",['fc1'],5,32768,32768,60,32828,0,0,32768,1,60
fc2,Linear,Classifier,Enclave,17.40161479992821,0.07161619579358798,17.32752999942022,17.532737000692578,17.506613400655624,17.527512280685187,0.0,0.0,0.0,0.0,16384,16384,"[1, 4096]","[1, 4096]",['relu_fc1'],5,67158016,67158016,240,67158256,67108864,16384,32768,4,60
