name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
patch_embed,Conv2d,PatchEmbed,Enclave,24.130325900114258,0.15550400410194526,23.85309799865354,24.347168000531383,24.340173200835125,24.34576904059213,0.0,0.0,0.0,0.0,602112,602112,"[1, 3, 224, 224]","[1, 768, 14, 14]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,3566592,3566592,60,3566652,2359296,3072,1204224,1,60
block0_norm1,LayerNorm,Block0,Enclave,0.4296956001780927,0.027910270577503695,0.40105100197251886,0.4973210016032681,0.47955275185813656,0.4937673516542418,0.0,0.0,0.0,0.0,605184,605184,"[1, 197, 768]","[1, 197, 768]",['patch_embed'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block0_attn_q_proj,Linear,Block0,Enclave,3.8120858000183944,0.3101481591442158,3.5494599978846963,4.371516999526648,4.36574845098221,4.37036328981776,0.0,0.0,0.0,0.0,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block0_attn_k_proj,Linear,Block0,Enclave,3.69971149993944,0.10776104000644467,3.535660998750245,3.9508020017819945,3.867719850677531,3.934185571561102,0.0,0.0,0.0,0.0,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block0_attn_v_proj,Linear,Block0,Enclave,3.585202400063281,0.06412640362867061,3.5059740002907347,3.7134090016479604,3.687661800540809,3.70825956142653,0.0,0.0,0.0,0.0,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block0_attn_head0_qk_matmul,MatMul,Block0_Head0,Enclave,1.1103360997367417,0.11371998876156858,1.0322319976694416,1.360543003102066,1.3364842021474033,1.3557312429111334,0.0,0.0,0.0,0.0,100864,155236,"[1, 1, 197, 64]","[1, 1, 197, 197]","['block0_attn_q_proj', 'block0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head0_softmax,Softmax,Block0_Head0,Enclave,0.5106600001454353,0.018630850279538872,0.4855049992329441,0.548689000424929,0.5406029489677167,0.5470717901334865,0.0,0.0,0.0,0.0,155236,155236,"[1, 1, 197, 197]","[1, 1, 197, 197]",['block0_attn_head0_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,310472,310472,60,310532,0,0,310472,1,60
block0_attn_head0_attn_v_matmul,MatMul,Block0_Head0,Enclave,0.4914725992421154,0.09672816922174599,0.433197998063406,0.7759369982522912,0.6497115478850898,0.750691908178851,0.0,0.0,0.0,0.0,205668,50432,"[1, 1, 197, 197]","[1, 1, 197, 64]","['block0_attn_head0_softmax', 'block0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head1_qk_matmul,MatMul,Block0_Head1,Enclave,1.14461660014058,0.1320911900876601,1.026120997266844,1.3509679993148893,1.3509450489436858,1.3509634092406486,0.0,0.0,0.0,0.0,100864,155236,"[1, 1, 197, 64]","[1, 1, 197, 197]","['block0_attn_q_proj', 'block0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head1_softmax,Softmax,Block0_Head1,Enclave,0.5086227010906441,0.023332538992574554,0.4854180006077513,0.559019001229899,0.549389900334063,0.5570931810507318,0.0,0.0,0.0,0.0,155236,155236,"[1, 1, 197, 197]","[1, 1, 197, 197]",['block0_attn_head1_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,310472,310472,60,310532,0,0,310472,1,60
