name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
patch_embed,Conv2d,PatchEmbed,Enclave,31.250434799221694,0.20306074612180192,30.95824899719446,31.71619799832115,31.5853262985911,31.69002365837514,0.0,0.0,0.0,0.0,602112,802816,"[1, 3, 224, 224]","[1, 1024, 14, 14]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,4554752,4554752,60,4554812,3145728,4096,1404928,1,60
block0_norm1,LayerNorm,Block0,Enclave,0.5301952995068859,0.05405925363686951,0.4828990022360813,0.6782700002077036,0.6210596999153494,0.6668279401492327,0.0,0.0,0.0,0.0,806912,806912,"[1, 197, 1024]","[1, 197, 1024]",['patch_embed'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,1622016,1622016,60,1622076,4096,4096,1613824,1,60
block0_attn_q_proj,Linear,Block0,Enclave,6.219499499275116,0.12229284321262039,6.072223997762194,6.408008001017151,6.388681399948837,6.4041426808034885,0.0,0.0,0.0,0.0,806912,806912,"[1, 197, 1024]","[1, 197, 1024]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5812224,5812224,60,5812284,4194304,4096,1613824,1,60
block0_attn_k_proj,Linear,Block0,Enclave,6.125511699792696,0.10259871199098766,6.047545997716952,6.410241996491095,6.298487648200535,6.387891126832983,0.0,0.0,0.0,0.0,806912,806912,"[1, 197, 1024]","[1, 197, 1024]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5812224,5812224,60,5812284,4194304,4096,1613824,1,60
block0_attn_v_proj,Linear,Block0,Enclave,6.165362400497543,0.11819240586893609,5.99523300115834,6.359893999615451,6.31875679919176,6.351666559530713,0.0,0.0,0.0,0.0,806912,806912,"[1, 197, 1024]","[1, 197, 1024]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,5812224,5812224,60,5812284,4194304,4096,1613824,1,60
block0_attn_head0_qk_matmul,MatMul,Block0_Head0,Enclave,1.1034434995963238,0.0858751560698001,1.016047997836722,1.2944760019308887,1.2496672512497753,1.285514251794666,0.0,0.0,0.0,0.0,100864,155236,"[1, 1, 197, 64]","[1, 1, 197, 197]","['block0_attn_q_proj', 'block0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head0_softmax,Softmax,Block0_Head0,Enclave,0.5096962991956389,0.015566919953698797,0.48793099995236844,0.5395230000431184,0.5356098004995147,0.5387403601343976,0.0,0.0,0.0,0.0,155236,155236,"[1, 1, 197, 197]","[1, 1, 197, 197]",['block0_attn_head0_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,310472,310472,60,310532,0,0,310472,1,60
block0_attn_head0_attn_v_matmul,MatMul,Block0_Head0,Enclave,0.5392301995016169,0.09119997271966922,0.44068399802199565,0.6680020014755428,0.6534125508551369,0.6650841113514616,0.0,0.0,0.0,0.0,205668,50432,"[1, 1, 197, 197]","[1, 1, 197, 64]","['block0_attn_head0_softmax', 'block0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head1_qk_matmul,MatMul,Block0_Head1,Enclave,1.0837613004696323,0.09156283764014767,1.0135080010513775,1.287876999413129,1.2663845505812787,1.283578509646759,0.0,0.0,0.0,0.0,100864,155236,"[1, 1, 197, 64]","[1, 1, 197, 197]","['block0_attn_q_proj', 'block0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head1_softmax,Softmax,Block0_Head1,Enclave,0.5113202994834865,0.011768367169828908,0.49656099872663617,0.5292550013109576,0.5272606011203607,0.5288561212728382,0.0,0.0,0.0,0.0,155236,155236,"[1, 1, 197, 197]","[1, 1, 197, 197]",['block0_attn_head1_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,310472,310472,60,310532,0,0,310472,1,60
block0_attn_head1_attn_v_matmul,MatMul,Block0_Head1,Enclave,0.4577337997034192,0.013030775250686704,0.439219998952467,0.4830350007978268,0.47691725103504723,0.4818114508452709,0.0,0.0,0.0,0.0,205668,50432,"[1, 1, 197, 197]","[1, 1, 197, 64]","['block0_attn_head1_softmax', 'block0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head2_qk_matmul,MatMul,Block0_Head2,Enclave,1.0645135003869655,0.06290771786120439,1.0168709995923564,1.24520800090977,1.1709350499586433,1.2303534107195446,0.0,0.0,0.0,0.0,100864,155236,"[1, 1, 197, 64]","[1, 1, 197, 197]","['block0_attn_q_proj', 'block0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,256100,256100,60,256160,0,0,256100,1,60
