name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
patch_embed,Conv2d,PatchEmbed,Enclave,14.88690350051911,1.5558966130905845,14.010893002705416,19.15553899743827,17.771400199671913,18.878711237885,0,0,0,0,602112,301056,"[1, 3, 224, 224]","[1, 384, 14, 14]",[],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,2084352,2084352,60,2084412,1179648,1536,903168,1,60
block0_norm1,LayerNorm,Block0,Enclave,0.24808960006339476,0.011333168651597727,0.23343499924521893,0.26519700259086676,0.2636157008964801,0.26488074225198943,0,0,0,0,302592,302592,"[1, 197, 384]","[1, 197, 384]",['patch_embed'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,608256,608256,60,608316,1536,1536,605184,1,60
block0_attn_q_proj,Linear,Block0,Enclave,1.0779752006783383,0.04944237603417137,1.0092610027641058,1.1579380006878637,1.1474417509816703,1.155838750746625,0,0,0,0,302592,302592,"[1, 197, 384]","[1, 197, 384]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1196544,1196544,60,1196604,589824,1536,605184,1,60
block0_attn_k_proj,Linear,Block0,Enclave,1.0962126005324535,0.021289023393403477,1.0604609997244552,1.1363640005583875,1.130643150281685,1.135219830503047,0,0,0,0,302592,302592,"[1, 197, 384]","[1, 197, 384]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1196544,1196544,60,1196604,589824,1536,605184,1,60
block0_attn_v_proj,Linear,Block0,Enclave,1.09987620053289,0.08883083823488572,1.0175240022363141,1.336105000518728,1.2535696016129803,1.3195979207375785,0,0,0,0,302592,302592,"[1, 197, 384]","[1, 197, 384]",['block0_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1196544,1196544,60,1196604,589824,1536,605184,1,60
block0_attn_head0_qk_matmul,MatMul,Block0_Head0,Enclave,1.0736665990407346,0.05849916043702084,1.0390110001026187,1.2461709993658587,1.1681486495945135,1.2305665294115897,0,0,0,0,100864,155236,"[1, 1, 197, 64]","[1, 1, 197, 197]","['block0_attn_q_proj', 'block0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head0_softmax,Softmax,Block0_Head0,Enclave,0.5141015997651266,0.02224714406453371,0.49157199828187004,0.574960999074392,0.5524911499378504,0.5704670292470837,0,0,0,0,155236,155236,"[1, 1, 197, 197]","[1, 1, 197, 197]",['block0_attn_head0_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,310472,310472,60,310532,0,0,310472,1,60
block0_attn_head0_attn_v_matmul,MatMul,Block0_Head0,Enclave,0.47853609976300504,0.020632668583445476,0.4503700001805555,0.5190209994907491,0.5119870504131541,0.5176142096752301,0,0,0,0,205668,50432,"[1, 1, 197, 197]","[1, 1, 197, 64]","['block0_attn_head0_softmax', 'block0_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head1_qk_matmul,MatMul,Block0_Head1,Enclave,1.0716024004068458,0.09224910045961986,1.0138949983229395,1.292717999604065,1.2554989492855384,1.2852741895403597,0,0,0,0,100864,155236,"[1, 1, 197, 64]","[1, 1, 197, 197]","['block0_attn_q_proj', 'block0_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,256100,256100,60,256160,0,0,256100,1,60
block0_attn_head1_softmax,Softmax,Block0_Head1,Enclave,0.5040241001552204,0.013590519389750769,0.48802800301928073,0.5392210005084053,0.5254379495454486,0.5364643903158139,0,0,0,0,155236,155236,"[1, 1, 197, 197]","[1, 1, 197, 197]",['block0_attn_head1_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,310472,310472,60,310532,0,0,310472,1,60
