name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
backbone.0.conv,Conv2d,Backbone,CPU,24.16277379998064,2.7706244741674335,21.028314999966824,28.165765999801806,27.671066999937466,28.066826199828938,0.0,0.0,0.0,0.0,4915200,26214400,"[1, 3, 640, 640]","[1, 64, 320, 320]",[],5,31157504,31157504,120,31157624,27648,256,31129600,2,60
backbone.0.bn,BatchNorm2d,Backbone,CPU,3.0174169998645084,0.12566588030233292,2.8246000001672655,3.1836699999985285,3.1690855999841006,3.180753119995643,0.0,0.0,0.0,0.0,26214400,26214400,"[1, 64, 320, 320]","[1, 64, 320, 320]",['backbone.0.conv'],5,52429824,52429824,240,52430064,512,512,52428800,4,60
backbone.0.silu,SiLU,Backbone,CPU,2.7144745998157305,0.03426914248287479,2.6780729995152797,2.76648999988538,2.7617223999186535,2.7655364798920345,0.0,0.0,0.0,0.0,26214400,26214400,"[1, 64, 320, 320]","[1, 64, 320, 320]",['backbone.0.bn'],5,52428800,52428800,240,52429040,0,0,52428800,4,60
backbone.1.conv,Conv2d,Backbone,CPU,21.907399199881183,1.82466694208134,18.578692999653867,23.545488999843656,23.460707799858938,23.528532759846712,0.0,0.0,0.0,0.0,26214400,13107200,"[1, 64, 320, 320]","[1, 128, 160, 160]",['backbone.0.silu'],5,39617024,39617024,180,39617204,294912,512,39321600,3,60
backbone.1.bn,BatchNorm2d,Backbone,CPU,1.2672897995798849,0.07520324387970002,1.2016189994028537,1.4101079996180488,1.3806811995891621,1.4042226396122715,0.0,0.0,0.0,0.0,13107200,13107200,"[1, 128, 160, 160]","[1, 128, 160, 160]",['backbone.1.conv'],5,26216448,26216448,120,26216568,1024,1024,26214400,2,60
backbone.1.silu,SiLU,Backbone,CPU,1.422971600186429,0.11624758470411753,1.3286160001371172,1.6312759998982074,1.5988486000424018,1.6247905199270463,0.0,0.0,0.0,0.0,13107200,13107200,"[1, 128, 160, 160]","[1, 128, 160, 160]",['backbone.1.bn'],5,26214400,26214400,120,26214520,0,0,26214400,2,60
backbone.2.cv1.conv,Conv2d,Backbone,Enclave,189.33357339992654,12.456885024859785,181.89903399979812,214.15988000080688,208.2677518004857,212.98145436074265,0.0,0.0,0.0,0.0,13107200,6553600,"[1, 128, 160, 160]","[1, 64, 160, 160]",['backbone.1.silu'],5,19693824,19693824,120,19693944,32768,256,19660800,2,60
backbone.2.cv1.bn,BatchNorm2d,Backbone,Enclave,2.9254958002638887,0.39397714436119713,2.694707000046037,3.7118510008440353,3.5232932006692863,3.6741394408090855,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.cv1.conv'],5,13108224,13108224,60,13108284,512,512,13107200,1,60
backbone.2.cv1.silu,SiLU,Backbone,Enclave,19.21989679995022,1.0328276517298984,18.36475599975529,20.975160000489268,20.74638180038164,20.929404360467743,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.cv1.bn'],5,13107200,13107200,60,13107260,0,0,13107200,1,60
backbone.2.cv2.conv,Conv2d,Backbone,Enclave,178.88859679969755,2.5445784079180114,175.9746259995154,183.1460839994179,182.5189107996266,183.02064935945964,0.0,0.0,0.0,0.0,13107200,6553600,"[1, 128, 160, 160]","[1, 64, 160, 160]",['backbone.2.cv1.silu'],5,19693824,19693824,120,19693944,32768,256,19660800,2,60
backbone.2.cv2.bn,BatchNorm2d,Backbone,Enclave,2.7227575999859255,0.04257951007463082,2.655086999766354,2.7792350001618615,2.7717852000932908,2.7777450401481474,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.cv2.conv'],5,13108224,13108224,60,13108284,512,512,13107200,1,60
backbone.2.cv2.silu,SiLU,Backbone,Enclave,18.413350000082573,0.08845255640808315,18.31782600038423,18.580443000246305,18.54537440030981,18.573429280259006,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.cv2.bn'],5,13107200,13107200,60,13107260,0,0,13107200,1,60
backbone.2.m.0.cv1.conv,Conv2d,Backbone,Enclave,129.16364579978108,0.7244394545654,128.39826099934726,130.05110399990372,130.0465919997805,130.05020159987907,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.cv2.silu'],5,13123840,13123840,60,13123900,16384,256,13107200,1,60
