Model,OCC,DINA,MEDIA,Ours
InceptionV3,1505.7882,1875.3585125,1505.7882,929.848386132813
ALBERT-base,756.2851327964381,2756.0176912052866,2399.259062503802,657.1715506988767
ALBERT-large,2382.206033602415,15377.317092800295,10850.042141858314,2283.7694188389605
BERT-base,757.1267376035394,2379.6773760039914,2904.910932326309,680.7282337039578
BERT-large,2306.6658980174907,14429.019662556393,10548.536143548577,2287.0532360178913
DistillBERT-base,376.62824489998457,1106.6282448999846,1096.92709374767,354.4324535000851
TinyBERT-4l,81.11531510621717,449.55281510621717,81.11531510621717,75.29206169849203
TinyBERT-6l,377.1024663983553,1052.1024663983553,1098.3077964579156,351.96748519840185
ViT-base,1217.4982894095592,3325.108306757025,3744.5517262994417,1041.8304281010933
ViT-large,3563.4879507717415,24388.10447247258,18155.503432942838,3526.414805666718
ViT-small,409.6749012973305,1014.2681019809243,452.20711971229895,341.0742782998568
ViT-tiny,180.4347340043023,345.4933277543023,180.4347340043023,160.11139320675284
