Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,3595.8099611350617,3610.827127272756,3595.844961135061,2476.6956975946187
1.0,3595.8099611350617,3610.8185442039085,3595.8149611350614,2328.4020044839854
2.0,3595.8099611350617,3610.8142526694846,3595.814961135061,1357.002805137576
5.0,3595.8099611350617,3610.8116777488303,3595.8399611350615,1873.9453640762151
10.0,3595.8099611350617,3610.8108194419456,3595.844961135061,1986.8176832629003
20.0,3595.8099611350617,3610.810390288503,3595.844961135061,1375.9261639152974
50.0,3595.8099611350617,3610.8101327964378,3595.814961135061,1606.530738868408
100.0,3595.8099611350617,3610.8100469657493,3595.844961135061,1845.5692324080374
200.0,3595.8099611350617,3610.810004050405,3595.8449611350616,1357.4856481946606
500.0,3595.8099611350617,3610.8099783011985,3595.8149611350614,2741.657437360442
