Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,2382.206033602415,421425.63230308006,2382.206033602415,2382.206033602415
1.0,2382.206033602415,216425.6323030801,2382.206033602415,2382.206033602415
2.0,2382.206033602415,113925.63230308011,2382.206033602415,2382.206033602415
5.0,2382.206033602415,52425.632303080114,2382.206033602415,2363.4579545007
10.0,2382.206033602415,31925.632303080107,2382.206033602415,2363.4579545007
20.0,2382.206033602415,21675.632303080107,2382.206033602415,2363.4579545007
50.0,2382.206033602415,15525.632303080107,2382.206033602415,2363.4579545007
100.0,2382.206033602415,13475.632303080107,2382.206033602415,2288.1713098388673
200.0,2382.206033602415,12450.632303080107,2382.206033602415,2288.1713098388673
500.0,2382.206033602415,11835.632303080107,2487.0341903061344,1838.024020967032
