Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,2306.6658980174907,307072.18569191685,2306.6658980174907,2306.6658980174907
1.0,2306.6658980174907,159072.1856919168,2306.6658980174907,2306.6658980174907
2.0,2306.6658980174907,85072.1856919168,2306.6658980174907,2306.6658980174907
5.0,2306.6658980174907,40672.185691916806,2306.6658980174907,2287.0532360178913
10.0,2306.6658980174907,25872.185691916802,2306.6658980174907,2287.0532360178913
20.0,2306.6658980174907,18472.185691916806,2306.6658980174907,2287.0532360178913
50.0,2306.6658980174907,14032.185691916804,2306.6658980174907,2287.0532360178913
100.0,2306.6658980174907,12552.185691916804,2306.6658980174907,2287.0532360178913
200.0,2306.6658980174907,11812.185691916804,2306.6658980174907,2287.0532360178913
500.0,2306.6658980174907,11368.185691916804,2408.078564417374,1816.8791466861958
