Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,1514.1263250000009,2304.3765392393248,1505.7881999999997,1505.7881999999997
1.0,1514.1263250000009,2304.3765392393248,1505.7881999999997,1505.7881999999997
2.0,1514.1263250000009,2304.3765392393248,1505.7881999999997,1505.7881999999997
5.0,1514.1263250000009,2304.3765392393248,1505.7881999999997,1440.9848249999998
10.0,1514.1263250000009,2304.3765392393248,1505.7881999999997,1307.5575249999997
20.0,1514.1263250000009,1972.2934869751616,1509.6814999999997,1055.956553125
50.0,1514.1263250000009,1701.3559869751616,1452.4588999999996,980.3698000000004
100.0,1514.1263250000009,1611.0434869751616,1403.1100999999996,890.6772687500002
200.0,1514.1263250000009,1565.8872369751616,1388.4401296874996,665.2896875000002
500.0,1514.1263250000009,1538.7934869751616,1307.2635593749999,492.7390374999999
