Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,3079.122707200542,101084.12270720056,3664.313263403763,3071.872707200542
1.0,3079.122707200542,52084.12270720054,3664.313263403763,2715.966457200542
2.0,3079.122707200542,27584.122707200542,3664.313263403763,2608.544582200542
5.0,3079.122707200542,12884.122707200542,2957.1490660166214,2544.091457200542
10.0,3079.122707200542,7984.122707200542,2957.1490660166214,2522.607082200542
20.0,3079.122707200542,5534.122707200542,2957.1490660166214,2511.864894700542
50.0,3079.122707200542,4064.122707200542,2957.1490660166214,2505.419582200542
100.0,3079.122707200542,3574.122707200542,2957.1490660166214,2342.7351468003817
200.0,3079.122707200542,3329.122707200542,2957.1490660166214,2146.320643300336
500.0,3079.122707200542,3182.122707200542,2957.1490660166214,1317.15378830002
