Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,1217.4982894095592,151844.2286826286,1217.4982894095592,1217.4982894095592
1.0,1217.4982894095592,77969.22868262854,1217.4982894095592,1217.4982894095592
2.0,1217.4982894095592,41031.728682628556,1217.4982894095592,1217.4982894095592
5.0,1217.4982894095592,18869.228682628553,1217.4982894095592,1217.4982894095592
10.0,1217.4982894095592,11481.728682628554,1217.4982894095592,1217.4982894095592
20.0,1217.4982894095592,7787.9786826285535,1217.4982894095592,1101.657115904527
50.0,1217.4982894095592,5571.7286826285535,1217.4982894095592,1046.455918706124
100.0,1217.4982894095592,4832.9786826285535,1217.4982894095592,1046.455918706124
200.0,1217.4982894095592,4463.6036826285535,1217.4982894095592,1041.2969021075696
500.0,1217.4982894095592,4241.978682628553,1159.2500446664926,986.6279160981321
