Bandwidth(Mbps),OCC,DINA,MEDIA,Ours
0.5,11613.069430401629,214524.78262470168,29646.993656314975,11613.069430401629
1.0,11613.069430401629,114524.78262470165,29646.993656314975,11613.069430401629
2.0,11613.069430401629,64524.78262470166,27795.892278835265,11613.069430401629
5.0,11613.069430401629,34524.78262470166,15244.784654273928,11613.069430401629
10.0,11613.069430401629,24524.782624701656,12172.600490890682,11613.069430401629
20.0,11613.069430401629,19524.782624701656,11702.856244848503,11613.069430401629
50.0,11613.069430401629,16524.782624701656,11519.447082689703,11613.069430401629
100.0,11613.069430401629,15524.782624701656,11432.804040500723,11613.069430401629
200.0,11613.069430401629,15024.782624701656,11416.416115126525,9634.842962633402
500.0,11613.069430401629,14724.782624701656,11416.416115126525,6060.040138843298
