Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3595.8099611350617,12595.80996113506,6320.758669934912,0.0
10,3595.8099611350617,4495.809961135061,2258.881041577732,0.0
20,3595.8099611350617,4045.809961135061,2258.265916135667,0.0
30,3595.8099611350617,3895.809961135061,1814.158626437586,0.0
40,3595.8099611350617,3820.809961135061,1822.4833215018286,0.0
50,3595.8099611350617,3775.809961135061,1732.1331281666944,0.0
60,3595.8099611350617,3745.809961135061,2262.7337376639334,0.0
70,3595.8099611350617,3724.3813897064892,2253.3804135902014,0.0
80,3595.8099611350617,3708.309961135061,1826.477456706256,0.0
90,3595.8099611350617,3695.809961135061,2260.394390327219,0.0
100,3595.8099611350617,3685.809961135061,1727.4289751665392,0.0
