Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,12432.211612063105,520432.2116120631,12479.406612062945,12432.211612063107
10,12432.211612063105,63232.21161206311,12479.406612062945,12432.211612063107
20,12432.211612063105,37832.21161206311,12479.406612062945,12432.211612063107
30,12432.211612063105,29365.54494539644,12479.406612062945,12432.211612063107
40,12432.211612063105,25132.211612063107,12479.406612062945,12432.211612063107
50,12432.211612063105,22592.21161206311,12479.406612062945,12432.211612063107
60,12432.211612063105,20898.878278729775,11894.470553966123,11894.120553966122
70,12432.211612063105,19689.354469205966,11665.899125394692,11665.549125394693
80,12432.211612063105,18782.21161206311,11570.349173749024,11556.88882459626
90,12432.211612063105,18076.656056507552,11543.76200600844,11523.360579015865
100,12432.211612063105,17512.21161206311,11522.21580788783,11501.222332909145
