Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,3612.9265659421626,84612.92656594218,3629.841565942146,3612.9265659421626
10,3612.9265659421626,11712.926565942162,3629.841565942146,3612.9265659421626
20,3612.9265659421626,7662.926565942162,3629.841565942146,3612.9265659421626
30,3612.9265659421626,6312.926565942162,3629.841565942146,3612.9265659421626
40,3612.9265659421626,5637.926565942162,3629.841565942146,3612.9265659421626
50,3612.9265659421626,5232.926565942162,3629.841565942146,3612.9265659421626
60,3612.9265659421626,4962.926565942162,3629.841565942146,3612.9265659421626
70,3612.9265659421626,4770.069423085019,3501.611350940717,3501.2613509407165
80,3612.9265659421626,4625.426565942163,3437.325636655003,3436.9756366550027
90,3612.9265659421626,4512.926565942163,3395.043686561274,3390.5059733114404
100,3612.9265659421626,4422.926565942163,3385.2349347158415,3381.7844865501384
