Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,12387.051476478182,520387.0514764783,85288.67543352128,12387.051476478184
10,12387.051476478182,63187.051476478184,3730.809602154528,12387.051476478184
20,12387.051476478182,37787.051476478184,4206.266603484992,12387.051476478184
30,12387.051476478182,29320.384809811512,3573.7422076233333,12387.051476478184
40,12387.051476478182,25087.051476478184,3662.3638397006303,12387.051476478184
50,12387.051476478182,22547.051476478184,3558.77266491076,12387.051476478184
60,12387.051476478182,20853.71814314485,3396.160542676264,12387.051476478184
70,12387.051476478182,19644.194333621042,3431.0867713138896,12387.051476478184
80,12387.051476478182,18737.051476478184,3387.9968339550187,12387.051476478184
90,12387.051476478182,18031.49592092263,3435.7302168565866,12387.051476478184
100,12387.051476478182,17467.051476478187,3941.937953717643,12387.051476478184
