Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,1824.124165310141,76824.12416531015,1832.6241653101463,1824.1241653101408
10,1824.124165310141,9324.12416531014,1832.6241653101463,1824.1241653101408
20,1824.124165310141,5574.124165310141,1832.6241653101463,1824.1241653101408
30,1824.124165310141,4324.124165310141,1832.6241653101463,1824.1241653101408
40,1824.124165310141,3699.124165310141,1832.6241653101463,1824.1241653101408
50,1824.124165310141,3324.124165310141,1832.6241653101463,1824.1241653101408
60,1824.124165310141,3074.124165310141,1832.6241653101463,1824.1241653101408
70,1824.124165310141,2895.552736738712,1768.9826870075547,1768.6326870075545
80,1824.124165310141,2761.624165310141,1736.8398298646975,1736.4898298646974
90,1824.124165310141,2657.457498643474,1717.170210231266,1712.903322547266
100,1824.124165310141,2574.124165310141,1712.4856090689234,1708.3415814637256
