Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,1505.8032000000003,22036.56491875,1506.693200000006,1505.8032000000003
10,1505.8032000000003,3558.8793718750003,1564.465300000006,1505.8032000000003
20,1505.8032000000003,2532.3412859375003,1561.969700000004,1505.7396000000053
30,1505.8032000000003,2190.1619239583333,1683.1419291666728,1482.0016333333383
40,1505.8032000000003,2019.0722429687503,1557.5154468750045,1434.1423000000048
50,1505.8032000000003,1916.4184343750003,1448.6375125000045,1448.5875125000043
60,1505.8032000000003,1847.982561979167,1456.478231250005,1446.5359583333386
70,1505.8032000000003,1799.0997959821432,1391.8218125000028,1391.1735125000027
80,1505.8032000000003,1762.4377214843753,1409.7515140625042,1409.103214062504
90,1505.8032000000003,1733.9227746527781,1376.7042833333362,1376.0559833333361
100,1505.8032000000003,1711.1108171875003,1358.4554250000026,1357.8071250000028
