Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,1824.5683295880526,76824.56832958804,1833.063329588058,1824.5683295880526
10,1824.5683295880526,9324.568329588052,1833.063329588058,1824.5683295880526
20,1824.5683295880526,5574.568329588053,1833.063329588058,1824.5683295880526
30,1824.5683295880526,4324.568329588053,1833.063329588058,1824.5683295880526
40,1824.5683295880526,3699.568329588052,1833.063329588058,1824.5683295880526
50,1824.5683295880526,3324.568329588052,1833.063329588058,1824.5683295880526
60,1824.5683295880526,3074.568329588052,1833.063329588058,1824.5683295880526
70,1824.5683295880526,2895.9969010166237,1768.7151855931975,1768.3651855931973
80,1824.5683295880526,2762.0683295880526,1736.5723284503404,1736.22232845034
90,1824.5683295880526,2657.9016629213857,1718.4678096685277,1713.772787621866
100,1824.5683295880526,2574.5683295880526,1713.386491767366,1708.9714990526393
