Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,13634.414680050302,610790.6646800505,13681.544680050141,13634.414680050306
10,13634.414680050302,73350.03968005031,13681.544680050141,13634.414680050306
20,13634.414680050302,43492.22718005031,13681.544680050141,13634.414680050306
30,13634.414680050302,33539.62301338364,13681.544680050141,13634.414680050306
40,13634.414680050302,28563.3209300503,13681.544680050141,13634.414680050306
50,13634.414680050302,25577.5396800503,13710.147201465184,13634.414680050306
60,13634.414680050302,23587.01884671698,13708.941035908554,13634.414680050306
70,13634.414680050302,22165.218251478873,13780.10306655679,13634.414680050306
80,13634.414680050302,21098.867805050304,12915.604422457627,12915.254422457627
90,13634.414680050302,20269.484124494746,12787.946162023816,12765.207284024835
100,13634.414680050302,19605.977180050304,12744.81009327108,12715.669705629818
