Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,1137.475180990934,1137.475180990934,2444.675176976602,0.0
10,1137.475180990934,1137.475180990934,740.7866994336262,0.0
20,1137.475180990934,1137.475180990934,962.030798904045,0.0
30,1137.475180990934,1137.475180990934,625.1766500507739,0.0
40,1137.475180990934,1137.475180990934,1132.4933557231966,0.0
50,1137.475180990934,1137.475180990934,1112.957487368693,0.0
60,1137.475180990934,1137.475180990934,632.9883179211732,0.0
70,1137.475180990934,1137.475180990934,1098.348239284496,0.0
80,1137.475180990934,1137.475180990934,632.3240962630048,0.0
90,1137.475180990934,1137.475180990934,682.7793405781406,0.0
100,1137.475180990934,1137.475180990934,1100.332173433197,0.0
