Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
10,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
20,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
30,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
40,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
50,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
60,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
70,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
80,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
90,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
100,368.6174569352105,368.6174569352105,375.2574569352116,374.9074569352115
