Bandwidth(Mbps),OCC,DINA,MEIDA,Ours
1,1824.124165310141,76824.12416531015,1824.2991653101415,595.5601453168722
10,1824.124165310141,9324.12416531014,1824.2991653101415,574.5002197482179
20,1824.124165310141,5574.124165310141,1824.2991653101415,551.4010396011738
30,1824.124165310141,4324.124165310141,1824.2991653101415,551.4010396011738
40,1824.124165310141,3699.124165310141,1824.2991653101415,551.4010396011738
50,1824.124165310141,3324.124165310141,1824.2991653101415,551.4010396011738
60,1824.124165310141,3074.124165310141,1824.2991653101415,551.4010396011738
70,1824.124165310141,2895.552736738712,1824.2991653101415,551.4010396011738
80,1824.124165310141,2761.624165310141,1824.2991653101415,551.4010396011738
90,1824.124165310141,2657.457498643474,1824.2991653101415,551.4010396011738
100,1824.124165310141,2574.124165310141,1824.2991653101415,551.4010396011738
