Model,Bandwidth_Mbps,DINA,MEDIA,Ours,OCC
ALBERT,1,21876.496144001085,8914.878199614866,876.49614400108,1303.681498233868
ALBERT,10,2976.4961440010798,3749.997758556162,876.49614400108,1303.681498233868
ALBERT,50,1296.49614400108,1296.49614400108,876.49614400108,1303.681498233868
ALBERT,100,1086.49614400108,1086.49614400108,876.49614400108,1303.681498233868
ALBERT,500,918.49614400108,918.49614400108,845.4614713010801,1303.681498233868
ALBERT,1000,897.49614400108,897.49614400108,845.4614713010801,1303.681498233868
BERT-base,1,45666.24475270176,7453.500643253202,666.2447527017598,1082.1565301980977
BERT-base,10,5166.24475270176,3105.7272004445167,666.2447527017598,1082.1565301980977
BERT-base,50,1566.2447527017598,1319.444407681947,666.2447527017598,1082.1565301980977
BERT-base,100,1116.2447527017598,1161.4188020058743,666.2447527017598,1082.1565301980977
BERT-base,500,756.24475270176,756.24475270176,721.87128280276,1082.1565301980977
BERT-base,1000,711.24475270176,711.24475270176,649.87128280276,1082.1565301980977
DistillBERT,1,18433.545873499308,2973.4632105507135,433.5458734993099,608.6548136238217
DistillBERT,10,2233.54587349931,1733.3512771790033,433.5458734993099,608.6548136238217
DistillBERT,50,793.5458734993101,761.5413957583706,433.5458734993099,608.6548136238217
DistillBERT,100,613.54587349931,641.5413957583706,433.5458734993099,608.6548136238217
DistillBERT,500,469.54587349931,469.54587349931,418.28255249930993,608.6548136238217
DistillBERT,1000,451.54587349931,451.54587349931,418.28255249930993,608.6548136238217
InceptionV3,1,22036.549918750003,17376.90395793287,1505.7882,1689.5825229675295
InceptionV3,10,3558.864372,3966.0418336374964,1505.7882,1689.5825229675295
InceptionV3,50,1916.4034343750002,1916.4034343750002,1421.6905,1689.5825229675295
InceptionV3,100,1711.0958171875002,1711.0958171875002,1362.4088187500004,1689.5825229675295
InceptionV3,500,1546.8497234375002,1546.8497234375002,1018.5224062499998,1689.5825229675295
InceptionV3,1000,1526.31896171875,1526.31896171875,956.3063749999999,1689.5825229675295
TinyBERT-4l,1,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,10,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,50,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,100,104.71379160064,104.71379160064,104.71379160064001,104.71379160064
TinyBERT-4l,500,104.71379160064,104.71379160064,101.64096190124,104.71379160064
TinyBERT-4l,1000,104.71379160064,104.71379160064,101.64096190124,104.71379160064
TinyBERT-6l,1,18440.90907479892,3024.118991512059,440.9090747989201,616.0150566257022
TinyBERT-6l,10,2240.90907479892,2046.8691082035957,440.9090747989201,616.0150566257022
TinyBERT-6l,50,800.90907479892,770.9529983511558,440.9090747989201,616.0150566257022
TinyBERT-6l,100,620.90907479892,620.90907479892,440.9090747989201,616.0150566257022
TinyBERT-6l,500,476.90907479891996,476.90907479891996,425.48397229892004,616.0150566257022
TinyBERT-6l,1000,458.90907479891996,458.90907479891996,425.48397229892004,616.0150566257022
ViT-base,1,698548.2184275502,296369.2848704828,425.56241409919994,2199.5025004262766
ViT-base,10,71311.06022442531,43875.34865922155,425.56241409919994,2199.5025004262766
ViT-base,50,15556.6461619253,13282.988802348646,425.56241409919994,2199.5025004262766
ViT-base,100,8587.344404112799,8431.582560504046,425.56241409919994,2199.5025004262766
ViT-base,500,3011.9029978628,3011.9029978628,425.56241409919994,2199.5025004262766
ViT-base,1000,2314.97282208155,2314.97282208155,425.56241409919994,2199.5025004262766
